COMMENT_ID,TARGET,CONTENT,TENSION_CATEGORY,LLM_SUMMARY,LABEL,UMAP_1,UMAP_2,SUBCATEGORY
1624,Infrastructure & utilities restoration,Bury all the utility lines!,Public v Private,Bury all utility lines underground to prevent fires.,Underground Infrastructure Public Safety,0.6767694354,10.378259659,Underground Power Lines Required
1605,Infrastructure & utilities restoration,We should be considering discontinuing natural gas lines to neighborhoods that opt in for that.,Public v Private,Neighborhoods should have the option to discontinue natural gas lines for safety reasons.,Public Infrastructure Safety,5.673154354,9.506457329,Utilities Need Public Accountability
1591,Wildfire prevention prioritization & accountability,"Over the last few years, as a private property owner, I have received Brush Clearance notices for my property. At one point, I was substantially fined - although I had documentation my lot was clear. No matter what had been happening in my life (a parent passing, Covid, a sick child) I was required to clear brush on my property. Why isn’t the City, County, State held to these same requirements? 

I also think basic services that prioritize the safety of our communities - the police, fire department, schools, infrastructure - need to be funded first. We pay too high of taxes in LA and CA for these services not be available to residents when they are needed (ie; firefighters to put out fires, fire hydrants that work, etc)",Public v Private,"The city, county, and state should follow the same brush clearance requirements as private owners. We pay high taxes but don't get adequate fire safety infrastructure.",public accountability needed,3.859912634,5.621851921,Utilities Need Public Accountability
1561,Wildfire prevention prioritization & accountability,"The money to do this should already be a part of all the money that is being paid into the state, county and city.  Why there is almost no funds or action in the past in this area does not make any sense.",Public v Private,The government already collects enough money from us - they should have funds for fire prevention but aren't using them properly.,Public Funding Required,2.698115587,5.272047997,Utilities Need Public Accountability
1519,Financial & legal assistance,"Regarding insurance claims and premiums, no one should have any issues at all with insurance claims. Insurance companies should be lowering cost and premiums vs. raising them. When it's a known fact that insurance companies have more money than banks and are collecting around the clock; I find it hard to believe that they are somehow living paycheck to paycheck. Besides, this is the business they chose. If insurance companies want to raise cost, they should be required to provide something more like free legal assistance for tenants and undocumented immigrants. 

New requirements before permitting building of homes and buildings, fire prevention methods and materials required before issuing any permits. City, County, and State level.",Public v Private,Insurance companies are profiting heavily but raising premiums. They should lower costs or provide additional services like legal assistance to tenants and immigrants.,private insurance regulation,1.008805037,0.6443905234,Insurance Companies Failing Policyholders
1485,Financial & legal assistance,The behavior of the California Fair Plan to deny smoke damage claims is unacceptable and the lack of other choices for insurance is not ok. What can be done to bring insurance companies back to CA?,Public v Private,"Insurance companies abandoning California is unacceptable, leaving residents with only the unreliable Fair Plan that denies smoke damage claims.",Private Insurance Failing,-2.162334442,-0.6522655487,Insurance Companies Failing Policyholders
1505,Debris removal & environmental recovery,"The Army Corps of Engineers is doing a great job.  After the ACE has done it's job, there should be an additional step of testing for soil and water quality.  If the city can't pay for it, then it should be covered under the California Fair Plan ""Ordinance of Law"" line item.",Public v Private,Insurance should cover soil and water testing if the city can't afford it after Army Corps finishes their work.,Public Infrastructure Support,0.7885689139,-0.05594230071,Insurance Companies Failing Policyholders
1491,Wildfire prevention prioritization & accountability,Government at all levels should be held accountable for fire prevention along with what is being required of homeowners.,Public v Private,"Government should share fire prevention responsibilities and requirements with homeowners, not just impose rules on residents.",Government Accountable For Safety,2.490384579,5.34636116,Utilities Need Public Accountability
1494,Financial & legal assistance,"We have specific questions about the California Fair Plan.  What construction features are covered under the ""Ordinance or Law"" item in the CFP policy?  At one point I heard Steve Soboroff say that everyone should hire an attorney.  I don't think that everyone should have to hire an attorney to get the fair benefit of their fire insurance policy.",Public v Private,Insurance companies shouldn't require homeowners to hire attorneys just to understand and receive fair coverage under the California Fair Plan.,insurance access fairness,-1.050186872,-1.778290987,Insurance Companies Failing Policyholders
1551,Financial & legal assistance,"We need transparency and accountability from insurance companies, as well as from oil and gas companies. Insurance claims need to be met. Politicians must stand up to extractive capitalism. Yet we also do need to recognise that disasters are going to increase in number and scale. Life is uncertain and responsibility and accountability start with individuals. There is no magic bullet, just a hundred and one acts of daily accountability and learning to do more with less. Asking for specific ideas is great and thank you for doing so, yet what we are faced with is changing mindsets and learning to address our issues systemically. Corporations AND their shareholders need to stop driving the 'growth and increasing profits are forever' mentality.",Public v Private,"Insurance companies must be held accountable for claims, but we can't rely solely on them. Both corporations and individuals need to share responsibility.",corporate accountability needed,1.521885514,-1.942701936,Insurance Companies Failing Policyholders
1483,Infrastructure & utilities restoration,Underground utilities without delay,Public v Private,Underground utilities must be installed immediately.,Public Infrastructure Priority,0.3656651676,10.500390053,Underground Power Lines Required
1471,Economic recovery & small business support,"I agree with the idea that there is corporate gouging and unfairness going on, because we all know this is happening, it's just the state doesn't want to put money into audits to catch and stop it from happening.  But I don't think the government elects (Mayor and Supervisors) need to manage something like this.  It would be like allowing the fox to watch over the hen house.  They already don't do a good job at their jobs, which is why we are in the state we are in.  So why give them more authority to come up with more projects, to give away more of our taxpayers money that will go more to waste?   I agree with the prior statement, let charities take this on if they feel the need to.",Public v Private,"Private companies gouge us, but government officials can't be trusted to manage utilities either - they already waste too much taxpayer money.",private over public,4.81475544,7.568636894,Utilities Need Public Accountability
1476,Infrastructure & utilities restoration,Power lines should be below ground,Public v Private,Power lines need to be underground to prevent fires.,Underground Power Line Advocate,2.964910507,12.189267159,Underground Power Lines Required
1463,Wildfire prevention prioritization & accountability,I've never understood why there are above ground electric wires in Angeles National Forest and Eaton Canyon specifically. The area is prone to fires! Get those underground or out of the park!,Public v Private,Underground power lines would be safer in fire-prone Eaton Canyon. Why are they still above ground in Angeles National Forest?,Infrastructure Safety Responsibility,3.150716305,12.750352859,Underground Power Lines Required
1640,Infrastructure & utilities restoration,MUST have underground power lines!  Its 2025 for goodness sakes.  The water systems are also archaic and are long overdue for an overhaul,Public v Private,"Underground power lines and updated water systems are essential, but who will pay for these overdue infrastructure upgrades?",Public Infrastructure Upgrade,2.597147703,10.930418968,Underground Power Lines Required
1365,Wildfire prevention prioritization & accountability,All the departments (local and state) need to work together. Hold utility companies fully accountable,Public v Private,"Utility companies must be held accountable, while local and state departments need better coordination.",Public Over Private,3.193280458,8.381052017,Utilities Need Public Accountability
1345,Wildfire prevention prioritization & accountability,"We must not, under ANY circumstances, bail out SoCal Edison the way Newsom bailed out his buddies at PG&E after Paradise. Enough is enough!",Public v Private,"Private utility companies should face consequences for fires, not get government bailouts like PG&E did after Paradise.",Private Profits Public Risk,2.671204567,6.729447842,Utilities Need Public Accountability
1416,Infrastructure & utilities restoration,Local residential electric lines should never have been above ground.  They should have been below ground from the start.  The literature on this is 50 years old.,Public v Private,"Underground power lines would be safer, but utility companies chose aboveground installation despite decades of evidence supporting buried lines.",Infrastructure Safety Versus Cost,1.534087658,12.143426895,Underground Power Lines Required
1372,Prioritize recovery themes,More regulation of insurance and insurance companies. Too many people can no longer afford it,Public v Private,Insurance companies need more regulation - people can't afford coverage anymore.,Regulate Private Insurance,-1.013016224,-1.024699688,Insurance Companies Failing Policyholders
1373,Financial & legal assistance,"The insurance landscape in California needs to be addressed. The FAIR plan is terrible, and private insurance companies take to long to process claims. There need to be faster ways for survivors to get access to funds after their home is destroyed.",Public v Private,"Insurance claims take too long to process, whether through private companies or California's FAIR plan. We need faster ways to help fire survivors.",Public Insurance Reform,-0.3948512077,-0.1571380049,Insurance Companies Failing Policyholders
1409,Wildfire prevention prioritization & accountability,Most everything now burned already!  What's more neeeded is making Edison and DWP publicly owned and managed.,Public v Private,Edison and DWP should be publicly owned and managed instead of private companies.,public utility ownership,4.389166832,8.480772018,Utilities Need Public Accountability
1414,Economic recovery & small business support,This really equires the Mayor and Supervisors to create a list of projects and see which they can partner with the State and Federal Gov to reduce or eliminate corporate gouging and unfairness.,Public v Private,Government officials need to partner with state and federal agencies to prevent corporate price gouging on infrastructure projects.,Public Over Private,5.75363636,8.615974426,Utilities Need Public Accountability
1391,Infrastructure & utilities restoration,"Underground power lines, holding Edison corporate accountable, not letting Edison pass on their mistakes onto the cost of their customers. Every time they go into litigation or bills go up. 

When they need to shut off power due to weather - my husband can’t work. So he doesn’t get paid. 

The way palisades and Altadena need to be rebuilt needs to be smart. All street lights need to be solar, solar cross walks, a better environment and a safer environment for kids.",Public v Private,Edison shouldn't pass their mistakes and litigation costs onto customers. Power shutoffs prevent my husband from working and earning income.,Corporate Accountability Needed,-0.1040619016,13.042692184,Underground Power Lines Required
1407,Infrastructure & utilities restoration,Both our electric systems and water systems should make more use of local supplies -- micro-grids for the electric system and water capture and grey water for the water systems.,Public v Private,Local micro-grids and water capture systems should replace centralized utilities to better serve communities.,local infrastructure control,4.716920853,9.199947357,Utilities Need Public Accountability
1440,Climate & community resilience,"What is wildfire adaptation? Fire-resistant design and preparedness training are not the City's role; let Angelenos, their architects, and private organizations do this.",Public v Private,"Private organizations and individuals, not the city, should handle fire preparedness and building design.",private sector responsibility,3.537383556,4.919137955,Utilities Need Public Accountability
1422,Climate & community resilience,Don’t just throw this on the residents trying to rebuild manage the land that is prone to fire better,Public v Private,Private companies shouldn't push costs onto residents - better land management is needed to prevent fires.,Public Land Management,3.463916063,6.141945839,Utilities Need Public Accountability
1423,Infrastructure & utilities restoration,Bury the utilities and mandate solar,Public v Private,Utilities should be buried underground and solar power should be required.,Public Infrastructure Safety Mandate,1.281856537,10.105174065,Underground Power Lines Required
1381,Financial & legal assistance,"Insurance is a key lever that needs to be addressed here, in service to the whole of the economy.  Insurance providers have known for DECADES about the risks they face with respect to climate, and as an industry, they have not acted with enough innovative approaches to changing incentives for more regenerative decisions.  They have not faced the truth of what is facing all of us with respect to climate risk, and they are brittle and wholly unprepared from a business model perspective to respond to the realities of what they are facing.  We need to redesign business models, incentives, and policies to face the realities of the calamities that we are facing as a community.  There is only going to be more of the same in the future.",Public v Private,Insurance companies have failed to innovate or prepare for climate risks despite decades of awareness. Their business models need complete redesign to handle future disasters.,private insurance reform,1.17771697,-1.575333834,Insurance Companies Failing Policyholders
1431,Infrastructure & utilities restoration,This is essential and should be done by private enterprise to the extent feasible. Large infrastructure contractors can do this much faster than Public Works or LADWP and likely more cost-effectively. This is not the time for political egos to eye ad opportunities for the next election; move out of the way and let the city rebuild.,Public v Private,Private contractors can rebuild infrastructure faster and more cost-effectively than public agencies. Government should step aside and let them handle it.,private enterprise efficiency,6.405626297,7.985585213,Utilities Need Public Accountability
1361,Infrastructure & utilities restoration,Underground power lines are a necessity,Public v Private,Underground power lines are a necessity.,Public Infrastructure Upgrade,1.272693634,11.935810089,Underground Power Lines Required
1363,Emergency communication,"*The first thing I would advise is to ensure that the CPUC requires AT&T to maintain its ""carrier of last resort"" status, which generally also requires them to maintain landlines. We have pitiful cell service in the Canyons-and 5G can't/won't fix that, as its intense network infrastructure is generally incompatible with rural-mountain topography and economics.",Public v Private,AT&T must maintain landline service in canyons since cell coverage is poor here and 5G infrastructure isn't feasible in rural mountain areas.,Public Utility Regulation,5.316861153,6.48415184,Utilities Need Public Accountability
1258,Infrastructure & utilities restoration,Power lines should be UNDERGROUND,Public v Private,Power lines need to be placed underground.,Public Underground Infrastructure,2.6401124,13.573456764,Underground Power Lines Required
1257,Housing & rebuilding,I should not have to shoulder Palisades folks rebuilding in such a high risk area.,Public v Private,Taxpayers shouldn't have to pay for rebuilding homes in high-risk fire zones.,taxpayers oppose subsidies,0.741230309,3.952113152,High Risk Areas Should Pay Own Costs
1259,Infrastructure & utilities restoration,Power lines under ground please,Public v Private,Underground power lines are needed.,Underground Power Line Advocate,1.208873153,11.040791512,Underground Power Lines Required
1270,Financial & legal assistance,"The CA Department of Insurance has put a number of excellent laws and regulations together that make dealing with the insurance providers somewhat easier for a homeowner customer. However the industry wide marketing of disaster (Homeowner)’insurance has led to virtually no polices promising to rebuild “no matter what” and substituting coverages that seem to fully protect and do not, leaving most homeowners underinsured which means they can’t afford to rebuild and can’t stay in their home because it has burned to the ground. This needs to be worked out with the insurance providers and the Dept of Insurance and the homeowners needing and wanting the protection of a policy that will help them in a catastrophe, rather than add to it.",Public v Private,"Insurance regulations help, but providers now offer inadequate coverage, leaving homeowners unable to rebuild after fires. This needs better coordination between insurers and regulators.",public regulation needed,0.5506603718,0.3822966218,Insurance Companies Failing Policyholders
392,Financial & legal assistance,"I am very skeptical about how all these insurance companies happened to back out 3 months before these ""wildfires"" happened. I also had issues with State Farm auto insurance around this time.",Public v Private,"Insurance companies suspiciously withdrew coverage three months before wildfires, raising questions about their motives and timing.",Corporate Insurance Skepticism,-2.512013197,1.417012095,Insurance Companies Failing Policyholders
384,Financial & legal assistance,"California's insurance system requires a complete overhaul—it is currently more complicated than the tax code. This issue must be addressed in clear, straightforward terms before any funds are allocated. Otherwise, the same problems will arise during the next disaster.",Public v Private,Insurance system needs total reform - it's too complex. Must fix this first or we'll face the same problems in future disasters.,Complex Insurance Reform,0.5240060091,-1.299024701,Insurance Companies Failing Policyholders
431,Prioritize recovery themes,"We could rethink home insurance entirely. Maybe it should not be managed by private companies, but by a government agencies. Natural disasters ARE different from an individual fire in a resident's home.",Public v Private,"Insurance for natural disasters should be managed by government agencies, not private companies, since these disasters are fundamentally different from individual home fires.",public insurance management,1.797684312,-1.463445425,Insurance Companies Failing Policyholders
917,Climate & community resilience,Every home with a pool should have a pump that will allow pool water to be accessed! In Rancho Santa Fe it is required. Insurance companies should offer incentives.,Public v Private,"Insurance companies should incentivize pool pumps for firefighting access, like Rancho Santa Fe's requirements.",Private Insurance Incentives,0.3655792177,2.386380434,Insurance Companies Failing Policyholders
767,Infrastructure & utilities restoration,"Admittedly don't know enough here. Eaton fire started well outside of normal pedestrian infrastructure.  Only thing I can add here is that given that good fraction of the community has to start from scratch, now is a good time to revisit infra related issues such as underground power and better broadband.

The water utilities I have less info on. They seem to have bounced back pretty quickly but obviously lessons learned from this one should be considered.",Public v Private,Underground power lines and better broadband should be considered now that we're rebuilding from scratch after the fire.,infrastructure upgrade opportunity,4.195045471,12.371735573,Underground Power Lines Required
1042,Infrastructure & utilities restoration,"I would like to see several well-publicized and documented rapid pilot programs in various communities in LA that help Angelenos understand the scope and disruption related to retrofitting old systems. Everyone wants to DWP, etc to ""do it"", and they absolutely must, but it would be great to understand what that looks like, how we as citizens need to willingly participate in the process when it's our neighborhood's turn, how this affects our bottom line and what kind of ecological and safety improvements this brings to our communities.",Public v Private,"DWP must upgrade infrastructure, but we need pilot programs showing citizens how retrofitting affects neighborhoods, costs, and safety improvements.",public infrastructure transparency,3.057594299,10.577690125,Underground Power Lines Required
590,Infrastructure & utilities restoration,"All important to a functioning community. As usual, the question begs - who pays for this?  Should the folks in Etna, CA be taxed for the folly of building so many high-dollar homes in an obvious fire zone? Should Modesto be on the hook for wealthy home owners in Marin or Sonoma or LA?",Public v Private,"""Who pays for fire protection? Should residents in safer areas be taxed for wealthy homeowners building in obvious fire zones?""",cost allocation debate,1.04109621,4.307535648,High Risk Areas Should Pay Own Costs
433,Infrastructure & utilities restoration,Bury the power lines. Put in sidewalks.,Public v Private,Bury power lines underground and install sidewalks to improve infrastructure safety.,Public Infrastructure Upgrades,1.315891743,10.074554443,Underground Power Lines Required
927,Financial & legal assistance,It is important that government provide assistance to protect individual people from illegal or unfair actions taken against them by insurance companies and/or landlords. Government should simplify the regulatory process of rebuilding but should not be using tax-payer money to issue grants for home building or for bringing existing buildings into compliance with new code requirements. Government should not be using tax-payer money to provide legal aid to undocumented residents; this should be a service provided by the private sector.,Public v Private,"Government should protect people from unfair insurance and landlord practices, but taxpayer money shouldn't fund rebuilding grants or legal aid for undocumented residents.",government regulation needed,2.031649828,0.8293085694,Insurance Companies Failing Policyholders
1200,Climate & community resilience,"We need to be proactive and clear brush/trash, bring back the brush eating goats and allow those that owe parking tickets to clean the freeways, like they used to. It should be illegal to start fires on the streets, public parks/forests (unless allowed to BBQ). Taxpayers should NOT be paying for the infrastructure upgrades of for profit electrical companies. When new communities are built, require power lines to be underground or have other safety measures in place that will prevent fires. Electrical companies can also educated the public and if they see something off with a powerline to say something.",Public v Private,Taxpayers shouldn't fund infrastructure upgrades for profit-seeking electrical companies. New developments must require underground power lines or fire prevention measures.,taxpayers oppose costs,3.519590139,11.56440258,Underground Power Lines Required
703,Climate & community resilience,Ensure power companies are being responsible and maintaining their lines.,Public v Private,Power companies must properly maintain their lines and be held accountable for infrastructure upkeep.,Private Company Accountability,1.959999442,7.892242908,Utilities Need Public Accountability
659,Emergency communication,"The general public has no idea how emergency communications work, much less how ECC's & EM's are staffed, much less how easily overwhelmed 9-1-1 centers (with understaffed centers) are with floods of calls during events like this; and I could go on.  Clearly, there were failures in both the LA City and LA County responses in notifying the public.  Many fell back onto the Watch Duty app, which is privately funded and operated.  It proved itself to be a MORE reliable method of getting notification than from our paid city/county employees. LA should enter into a public/private partnership with Watch Duty, making it the single app to rely on.  For connecting with residents for resources, have your websites pre-made, ready to go prior launching.",Public v Private,Private app WatchDuty proved more reliable for fire notifications than city/county systems. LA should partner with them instead of relying on overwhelmed public services.,public private partnership,3.803720713,6.585855007,Utilities Need Public Accountability
1496,Climate & community resilience,"The experts in the insurance industry who assess fire risk need to share their information publicly.  A coordinated effort between the insurance industry, the emergence response planners in the government, and the builders could result in a much better system for everyone.",Public v Private,Insurance companies should share their fire risk data publicly so government planners and builders can create better coordinated emergency response systems.,public private cooperation,0.7525442839,1.764769077,Insurance Companies Failing Policyholders
1460,Climate & community resilience,"For those neighborhoods zoned as ""very high fire risk"", the city and/or utilities needs to also be held accountable on underground transmission lines, along with reviewing all city trees which are highly flammable and replace them (regardless if tress are ""protected"" or not), along with ensuring overgrown vegetation are trimmed back on our hillsides/mountain areas close to residents.",Public v Private,"Underground power lines are needed in high-risk areas. Cities and utilities must be held accountable, not just for lines but also managing dangerous vegetation.",public infrastructure responsibility,3.943575382,12.925009727,Underground Power Lines Required
1459,Debris removal & environmental recovery,"Army Corp and LA County systems need to be in sync. There have been many ROE's lost in the system, leaving us calling daily for status without answers. Also, lets be clear on who will be paying for debris removal, insurance or ""free"" as what many people are being told.",Public v Private,Insurance companies and government agencies need to coordinate better on debris removal costs and responsibilities. People are getting mixed messages about who pays.,Public Private Coordination,2.117306948,-1.018688321,Insurance Companies Failing Policyholders
582,Infrastructure & utilities restoration,"Now is the time for Altadena to get sidewalks.  Let's future proof this community so that people can come back.  And while at it, bury the powerlines.",Public v Private,Altadena needs buried power lines and sidewalks - essential infrastructure improvements that will protect our community's future.,Public Infrastructure Investment,1.699677825,14.170702934,Underground Power Lines Required
563,Infrastructure & utilities restoration,"It's clear that an inability to quickly shut down power contributed to the severity of the fire, along with exposed power lines. With the areas so devastated, it seems prudent for us to explore buried power lines to expand fire safety.",Public v Private,Exposed power lines and slow shutoff response worsened the fire. We should consider underground lines for better safety.,Infrastructure Safety Investment,2.708043814,11.721439362,Underground Power Lines Required
1458,Financial & legal assistance,Insurance assistance in layman terms would be essential. We shouldn't require a lawyer to understand our insurance policies.,Public v Private,"Insurance policies should be written in simple language that everyone can understand, not complex terms requiring legal expertise.",Public Insurance Accessibility,-0.03948526457,-1.896699071,Insurance Companies Failing Policyholders
870,Housing & rebuilding,"Let the market take care of the buildings! The government is inefficient. Reduce red tape, allow more and denser buildings, give more buildings permit. It is supply-demand! It will decrease prices for everyone. If Houston can do it, so can we!",Public v Private,Private companies should handle building development - government regulations just create inefficiencies. Reducing restrictions would increase supply and lower prices.,private market solution,4.924629688,5.291623116,Utilities Need Public Accountability
696,Infrastructure & utilities restoration,"Power lines should be underground.  People have been urging Edison to do this for decades.  Edison has become expert at deflection when asked about this, but no progress has been made.",Public v Private,Edison keeps deflecting requests to move power lines underground despite decades of public pressure.,Private Utility Negligence,0.707962811,12.843821526,Underground Power Lines Required
415,Financial & legal assistance,Insurance companies leaving the state is scary. Especially those able to drop coverage so quickly!,Public v Private,Insurance companies abandoning California and dropping coverage without warning creates fear about future fire protection.,Private Insurance Abandonment,-2.695921898,0.7091121674,Insurance Companies Failing Policyholders
823,Financial & legal assistance,"This right here. What am I investing this time and money in, if the property is then uninsurable?",Public v Private,Insurance companies abandoning fire-prone areas makes me question investing time and money in property that becomes uninsurable.,Insurance Cost Burden,-2.170927286,1.310026169,Insurance Companies Failing Policyholders
929,Infrastructure & utilities restoration,"Allow to build in an Off the Grid type of solar or wind power supply for a residential 
That way in case of emergency or heavy winds power can be shutdown without affecting a lot of customer.
Edison doesn't allow to be off the grid in the city that my understanding?
Allows us to build of the grid with a hybrid system not to depends so much on the grid.",Public v Private,Edison shouldn't restrict off-grid solar/wind power systems. Residents need independence from the main grid during emergencies and shutoffs.,private alternative infrastructure,3.984660625,7.727973461,Utilities Need Public Accountability
829,Economic recovery & small business support,"Renters were the most badly hurt while landlords claimed insurance money.  

More education about need for renters insurance is needed.  Earthquake policy is available from the state for homes (landlords). Loss of use policy should be offered to all renters.",Public v Private,Insurance companies and landlords got paid while renters suffered. State should provide affordable renter insurance like they do earthquake coverage.,public versus private,0.06282108277,1.085316896,Insurance Companies Failing Policyholders
1095,Debris removal & environmental recovery,Edison should be responsible for this. Residents of Altadena should not have to pay.,Public v Private,"Edison should be financially responsible for fire prevention infrastructure, not Altadena residents who are already paying customers.",Private Company Responsibility,1.105521798,14.051690102,Underground Power Lines Required
1175,Infrastructure & utilities restoration,undergrounding power lines is not the answer.  want to see our rates go up by 3x with little benefit?  we need to realize that living in a high fire hazard zone means more power outages during high wind events.  We should be shutting off major power lines during these events.  back-up power should be widespread via dual fuel homes.,Public v Private,Power outages during high winds are necessary in fire zones. Undergrounding lines would triple rates with minimal benefit. Homes should have backup power.,cost versus safety debate,2.200044632,12.742330551,Underground Power Lines Required
784,Infrastructure & utilities restoration,"The power lines in Altadena MUST BE BURIED. The transmission lines that run along the foothills must be rerouted. 

This Eaton Fire distaster cannot be allowed to happen again because a utility failed to de-energize the transmission lines.  That is no longer a tolerable scenario.  

The County, State and Federal Government must support this.",Public v Private,"Power lines in Altadena must be buried and rerouted, with government support. We can't risk another fire because utilities failed to de-energize lines.",public infrastructure responsibility,2.041090488,14.348035812,Underground Power Lines Required
315,Prioritize recovery themes,"in general, the state needs to investigate the impact private equity companies have had on emergency vehicles and response. they own fire trucks and make it extremely difficult and expensive for fire departments to get modern trucks and comply with repairs. this was a huge reason the fleet was smaller than it should have been. their monopoly is ILLEGAL. but if the state won't enforce it then the laws mean nothing.",Public v Private,Private equity companies' monopoly on fire trucks makes it harder and more expensive for departments to maintain adequate emergency response fleets.,public over private,2.158138037,6.326352119,Utilities Need Public Accountability
1169,Wildfire prevention prioritization & accountability,Insurance companies are not going to insure anyone in the Palisades if there is not an explanation for the 1.7.25 failure to address the fire.,Public v Private,Insurance companies won't provide coverage in Palisades without explanation of why the fire response failed on January 7th.,Private Insurance Accountability,-2.15056324,1.749586344,Insurance Companies Failing Policyholders
733,Financial & legal assistance,"Provide aid to all infected. Homeowners and renters, total loss and uninhabitables. You pay into insurance to be covered for emergencies and if there are no emergencies, there's no reason for rates to increase. Even where there is an emergency, rates shouldn't increase. The system needs to be overhauled, along with FEMA. The lack of financial support has caused so many to be homeless.",Public v Private,Insurance companies shouldn't raise rates after emergencies - that's why we pay premiums. The broken system leaves disaster victims without proper support.,public insurance support,1.014927387,-2.073837996,Insurance Companies Failing Policyholders
