COMMENT_ID,TARGET,CONTENT,TENSION_CATEGORY,LLM_SUMMARY,UMAP_1,UMAP_2,SUBCATEGORY
506,Housing & rebuilding,ADUs are a way to get people living on their properties sooner than later. Make the permitting process quick and easy for ADU and I may consider living there while I rebuild.,Density v. Safety,"Want to live in an ADU while rebuilding my home, but need faster, simpler permitting. This could help people return to their properties sooner during reconstruction.",16.63245392,17.36172867,ADU considerations
517,Infrastructure & utilities restoration,"I will not commit to rebuilding until I see a plan from DWP that includes Chautauqua Blvd, North of Bestor, in underground utility installation. This area has been severely neglected by the City: road in poor shape and not paved for about 30 years, power lines transversing my property from the pole to connect to neighbor and has not been updated for decades. Bad system for a known high fire prone/high wind prone area.",Density v. Safety,Won't rebuild until DWP commits to underground utilities on Chautauqua Blvd. Area's neglected infrastructure and outdated power lines are dangerous in this fire-prone,8.998004913,22.76756859,Re-zoning areas for rebuilding
622,Housing & rebuilding,"This is a hard one but, I think the homeowners, communities and the state need to reconsider rebuilding in areas that are known to burn over and over. Some areas have burnt multiple times and people just rebuild. Isn't this the definition of insanity?",Density v. Safety,We need to stop rebuilding homes in areas that repeatedly burn. It's insane that we keep reconstructing in the same high-risk fire zones over and over again.,11.43116093,25.36164856,Re-zoning areas for rebuilding
877,Emergency communication,"And the cellular/wifi system needs to have local power backup, and redundancy in case nodes go down.

We need fire shelters in every at risk area... and these might as well be ultra fast track permitted little unit ADUs - affordable housing and fire shelters in one solution. With pressurized air. Also could serve as wifi/cel backup nodes to be in communications. Accessible to first responders and especially to residents in conditions that move to fast... 

Places like Topanga in the 'urban-wilderness interface' were considered high risk. As we just learned, any neighborhood with trees - at least HALF of LA - is now as higher or higher risk because closer structures are susceptible to conflagration",Density v. Safety,Concerned about unreliable emergency communications during fires. We need backup power for cell/wifi systems and multi-purpose fire shelters that could serve as communication nodes in all at-risk neighborhoods.,18.04440308,18.58157158,ADU considerations
567,Housing & rebuilding,"Easy access to fire-safe building plans would help people tremendously, I think. I know some homeowners will struggle because they want to rebuild THE house, but many of those houses had outdated materials that are no longer up to code. But helping people see how they can rebuild with the proper materials will get some people over that hump quickly. Additionally, ADUs are a great way to help people earn extra income to cover their mortgages/insurance -- or to bring loved ones in when they need housing. This should be something that can be fast-tracked immediately. Long-term we all know that affordable housing is a challenge -- I'm not sure how we ever overcome the NIMBY mentality and make room for those who can't afford $3000 studio apts.",Density v. Safety,"Need easier access to fire-safe building plans and fast-tracked ADU permits. People want to rebuild exactly what they had, but updated materials are crucial. Affordable housing remains a major challenge.",17.57560158,18.0235424,ADU considerations
920,Financial & legal assistance,It is illogical to put more people in these fire areas particularly those who cannot afford insurance or the cost of rebuilding and replacing everything.,Density v. Safety,"Building in fire-prone areas is unwise, especially for those who can't afford insurance or recovery costs after losing everything.",12.72335911,25.0532341,Re-zoning areas for rebuilding
964,Wildfire prevention prioritization & accountability,"Climate change has made all natural events, including wild fires, more intense. We have to come to grips with the fact that there are places where NO homes should be.",Density v. Safety,"We must acknowledge that climate change intensifies wildfires, and accept that some areas are simply too dangerous for residential development.",9.648674011,25.08923149,Re-zoning areas for rebuilding
826,Emergency communication,"Immediately clear the properties on PCH on reopen the road. Cal Trans wants to put in bike lanes and sidewalks before opening. We do not need that. We need a wider road for safety, not narrower lanes. We also need an emergency permit for a sewer in east Malibu to handle the rebuilds.  600 or more new individual septic systems makes no sense whatsoever.",Density v. Safety,Frustrated with CalTrans prioritizing bike lanes over road reopening after fire. Want wider roads for safety and emergency access. Also need centralized sewer system instead of individual septics for rebuil,9.246161461,18.11519051,Evacuation routes
1168,Housing & rebuilding,should not be assessed for ADU will assist folks to move back to neighborhood faster and/or could assist housing some of the trades needed to rebuild,Density v. Safety,Want ADU permit fees waived to speed up neighborhood recovery - could help both returning residents and house workers needed for rebuilding efforts.,16.98392487,17.84880257,ADU considerations
365,Emergency planning & community safety,The state needs to plan for car-free evacuation options for every community. Cars are not a reliable way to get out of a canyon when a fire is coming. Run public shuttles or give people ebikes.,Density v. Safety,We need alternatives to car evacuations during fires - they're unreliable in canyons. The state should provide public shuttles or ebikes as backup evacuation options.,9.690824509,17.21632958,Evacuation routes
1082,Wildfire prevention prioritization & accountability,The State needs to stop requiring jurisdictions to allow buildings in the very high fire zones in LA county. There is no buffer like other counties between woodlands and urban areas.,Density v. Safety,"We need to stop allowing new construction in high-risk fire zones and create proper buffer zones between urban areas and woodlands, like other counties do.",10.28302479,26.11459923,Re-zoning areas for rebuilding
521,Emergency planning & community safety,"What warning systems?  Palisades had evacuation routes, only there weren't nearly enough of them.  It is shocking to me that there weren't hundreds of people killed in the Palisades.  And yet development continued on, knowing full well that the routes were grossly inadequate to carry the people out fast enough.  Criminal.",Density v. Safety,"Outraged that limited evacuation routes put lives at risk during Palisades Fire. Despite known safety issues, development continued without addressing inadequate escape routes for residents.",10.24456787,17.81375504,Evacuation routes
1243,Emergency planning & community safety,My grandmother had a hard time getting out on Palisades Dr. There needs to be more than one way in and out of fire-affected areas.,Density v. Safety,Concerned about limited evacuation routes during the fire. One access road on Palisades Drive wasn't enough - grandmother struggled to evacuate. Multiple escape routes are needed.,10.866745,16.05140495,Evacuation routes
1282,Infrastructure & utilities restoration,It would be nice if Altadena were rebuilt to be more walkable and accessible via bike and public transportation. Let's do this right!,Density v. Safety,"Want to see Altadena rebuilt with better walkability, bike paths, and public transit options - let's use this opportunity to improve infrastructure.",10.25870037,22.36215401,Re-zoning areas for rebuilding
1338,Emergency planning & community safety,"The state & many cities are planning for more growth & density, w/o paying attention to flood plains & fire prone areas. Even if the area is a ""high opportunity area"" if it's a flood plain per FEMA, it's highly irresponsible to put more people in the path of danger. We're now having more 100-year and 500-year storms and we must adapt to climate change, not ignore it. Same goes for tsunami zones, sea level rise & erosion, we should stop advocating for false solutions like sea walls & advocate for managed retreat instead. The city must have real community engagement and conduct drills so residents can be prepared for natural disasters. Language access is crucial, not only simple to understand, but translate messages to languages people speak.",Density v. Safety,"We need to stop building in hazardous areas and focus on real climate adaptation. Cities must engage communities in disaster preparedness with accessible, multilingual emergency planning and drills.",9.150975227,23.89200401,Re-zoning areas for rebuilding
1532,Emergency planning & community safety,Need to have realistic evacuation routes and communications given the densities of people or restrict building to reduce the density.  Mandatory training drills might be useful.,Density v. Safety,"Concerned about overcrowding affecting evacuations. Want better evacuation planning that accounts for population density, plus mandatory drills. Consider limiting new development to manage risk.",10.92028809,16.80711937,Evacuation routes
1732,Wildfire prevention prioritization & accountability,Insurance and Government agencies and should cover the costs and issue a public apology for their ineptness. It isn't about politics and constituencies.,Public v Private,"Fed up with agencies passing blame - insurance companies and government need to take responsibility, pay for damages, and apologize for their poor handling of wildfire prevention.",7.89998579,2.921996832,Infrastructure maintenance accountability
1698,Climate & community resilience,California needs to call in Federal assistance to manage the entire state. Too much of the forest is left unkept. Need to increase logging of old forest so that areas can be managed with planting of new growth. Open it up the private companies to manage.,Public v Private,We need federal intervention and private companies to manage California's forests through increased logging and replanting - the current overgrown forest conditions are too dangerous to maintain.,9.331122398,3.41092515,Infrastructure maintenance accountability
1673,Wildfire prevention prioritization & accountability,Please put as many power lines underground as possible.,Public v Private,We need to prioritize undergrounding power lines to prevent fires - this should be a key focus of prevention efforts.,13.56854725,1.778119922,Bury power lines
1648,Prioritize recovery themes,Others have mentioned the elephant in the room - home owners insurance in CA. This is going to continue to be a massive problem unless a sustainable solution is found. The reality is that most of the people I grew up will not be able to afford to return to the Palisades because they were massively underinsured. This is heartbreaking.,Public v Private,"Insurance costs are making it impossible for many to return to the Palisades after the fire. Without a sustainable solution, underinsured residents can't afford to rebuild here.",2.426255703,4.235599518,Insurance industry reform
1645,Financial & legal assistance,"I cannot tell you what a nightmare it has been for those of us who have homes still standing to navigate insurance. Most of the information at town halls and webinars was for total loss, which is a more clearly defined insurance process. The rest of us were basically expected to go back into our toxic homes and had to fight like hell for every ounce of ALE and smoke remediation to be covered. We are so grateful for Ricardo Lara and his staff for their help putting pressure on the insurance companies, but it would be great if the agents had the capacity to offer more guidance and support",Public v Private,"Dealing with insurance for smoke-damaged homes has been a nightmare - we've had to fight for coverage and support. While state officials helped pressure insurers, we need better guidance for partial damage cases",4.629499912,4.640133381,Insurance industry reform
1615,Debris removal & environmental recovery,"All debris must be cleared from all properties. It can be done privately but if anyone refuses or abandons their lot it must be removed even if a lean must be implemented against the owner and property. We can't have toxic waste that's both dangerous and unsightly to remain. Also, all the utilities must be buried underground. MUST. No exceptions.",Public v Private,"Toxic debris must be cleared from all properties, even if liens are needed to force uncooperative owners. Underground utilities are essential. No exceptions for either requirement.",12.58166885,4.373559475,None
1624,Infrastructure & utilities restoration,Bury all the utility lines!,Public v Private,We need to put utility lines underground to prevent future fire risks and outages.,13.31734181,3.514909267,Bury power lines
1605,Infrastructure & utilities restoration,We should be considering discontinuing natural gas lines to neighborhoods that opt in for that.,Public v Private,"Want to phase out natural gas infrastructure in willing neighborhoods as part of post-fire rebuilding, rather than automatically restoring gas service everywhere.",13.03560257,3.300804138,Bury power lines
1561,Wildfire prevention prioritization & accountability,"The money to do this should already be a part of all the money that is being paid into the state, county and city.  Why there is almost no funds or action in the past in this area does not make any sense.",Public v Private,Frustrated that existing tax revenue isn't being properly allocated for wildfire prevention. Can't understand why there's been such limited funding and action despite the clear need.,10.09389019,1.981626391,None
1519,Financial & legal assistance,"Regarding insurance claims and premiums, no one should have any issues at all with insurance claims. Insurance companies should be lowering cost and premiums vs. raising them. When it's a known fact that insurance companies have more money than banks and are collecting around the clock; I find it hard to believe that they are somehow living paycheck to paycheck. Besides, this is the business they chose. If insurance companies want to raise cost, they should be required to provide something more like free legal assistance for tenants and undocumented immigrants. 

New requirements before permitting building of homes and buildings, fire prevention methods and materials required before issuing any permits. City, County, and State level.",Public v Private,Insurance companies should lower premiums instead of raising them since they're extremely profitable. They should provide free legal help to tenants and immigrants if they increase costs.,4.676605225,2.16992712,Insurance industry reform
1504,Infrastructure & utilities restoration,"WATER. ALL THE WATER REFORM. Make the improvements. 
(Doesn’t somebody at DWP make like $700+K/yr? —&gt; Found some funding to get you started with.)",Public v Private,"Demanding water infrastructure improvements and reforms, suggesting funding could come from high DWP executive salaries rather than additional public costs.",13.13929176,2.536439896,Bury power lines
1491,Wildfire prevention prioritization & accountability,Government at all levels should be held accountable for fire prevention along with what is being required of homeowners.,Public v Private,Officials need to be held just as responsible as residents are for fire prevention measures - it shouldn't just fall on homeowners to meet requirements.,9.176306725,2.364062071,Infrastructure maintenance accountability
1551,Financial & legal assistance,"We need transparency and accountability from insurance companies, as well as from oil and gas companies. Insurance claims need to be met. Politicians must stand up to extractive capitalism. Yet we also do need to recognise that disasters are going to increase in number and scale. Life is uncertain and responsibility and accountability start with individuals. There is no magic bullet, just a hundred and one acts of daily accountability and learning to do more with less. Asking for specific ideas is great and thank you for doing so, yet what we are faced with is changing mindsets and learning to address our issues systemically. Corporations AND their shareholders need to stop driving the 'growth and increasing profits are forever' mentality.",Public v Private,"Insurance companies must be held accountable for claims, while we all need to shift away from profit-driven mindsets and accept that disasters will increase, requiring systemic changes.",5.032396793,1.749294996,Insurance industry reform
1640,Infrastructure & utilities restoration,MUST have underground power lines!  Its 2025 for goodness sakes.  The water systems are also archaic and are long overdue for an overhaul,Public v Private,Frustrated that power lines aren't underground yet in 2025. Water infrastructure is outdated too - both systems desperately need modernization to prevent future disasters.,12.7030201,2.709140778,Bury power lines
1365,Wildfire prevention prioritization & accountability,All the departments (local and state) need to work together. Hold utility companies fully accountable,Public v Private,"We need better coordination between government agencies at all levels, and utilities must be held responsible for their role in fire prevention.",8.25497818,2.658457518,Infrastructure maintenance accountability
1416,Infrastructure & utilities restoration,Local residential electric lines should never have been above ground.  They should have been below ground from the start.  The literature on this is 50 years old.,Public v Private,Underground power lines could have prevented outages. Above-ground lines are outdated and dangerous - we've known this for decades but nothing was done about it.,13.34934616,1.394317627,Bury power lines
1372,Prioritize recovery themes,More regulation of insurance and insurance companies. Too many people can no longer afford it,Public v Private,Insurance costs are too high and need stricter regulation - many residents can't afford coverage anymore.,2.598298788,4.059822559,Insurance industry reform
1373,Financial & legal assistance,"The insurance landscape in California needs to be addressed. The FAIR plan is terrible, and private insurance companies take to long to process claims. There need to be faster ways for survivors to get access to funds after their home is destroyed.",Public v Private,Insurance system is broken - FAIR plan is inadequate and private claims are too slow. We need faster ways to get money to wildfire survivors who've lost everything.,5.211315632,4.401551247,Insurance industry reform
1409,Wildfire prevention prioritization & accountability,Most everything now burned already!  What's more neeeded is making Edison and DWP publicly owned and managed.,Public v Private,Believes prevention focus is too late since area already burned. Advocates for public ownership of Edison and DWP utilities instead of current management structure.,13.25772667,2.034615755,None
1414,Economic recovery & small business support,This really equires the Mayor and Supervisors to create a list of projects and see which they can partner with the State and Federal Gov to reduce or eliminate corporate gouging and unfairness.,Public v Private,We need local leaders to work with state and federal government on specific projects to prevent corporate price gouging during our recovery efforts.,11.08428764,0.734360933,Bury power lines
1422,Climate & community resilience,Don’t just throw this on the residents trying to rebuild manage the land that is prone to fire better,Public v Private,Frustrated that burden falls on residents - authorities need to take more responsibility for managing fire-prone land rather than leaving it to homeowners during recovery.,9.2184515,3.46254611,Infrastructure maintenance accountability
1361,Infrastructure & utilities restoration,Underground power lines are a necessity,Public v Private,We need to move power lines underground to prevent future fire risks.,12.01188088,1.606697202,Bury power lines
1363,Emergency communication,"*The first thing I would advise is to ensure that the CPUC requires AT&T to maintain its ""carrier of last resort"" status, which generally also requires them to maintain landlines. We have pitiful cell service in the Canyons-and 5G can't/won't fix that, as its intense network infrastructure is generally incompatible with rural-mountain topography and economics.",Public v Private,Worried about poor cell coverage in canyon areas. Critical to maintain AT&T landlines as backup since 5G infrastructure isn't feasible in our mountain terrain.,11.65371609,2.866261959,Bury power lines
1404,Wildfire prevention prioritization & accountability,"Codes need to be updated to maintain vegetation perimeters, so the fires can't spread from vegetation to houses.  If the home owner can't afford tree-trimming and so forth, the cities must help pay for this, because the cost of neighborhoods burning down is far worse.",Public v Private,We need updated vegetation codes and city support for homeowners who can't afford maintenance. Preventing fires through proper clearance is cheaper than rebuilding burned neighborhoods.,9.376680374,2.923678398,Infrastructure maintenance accountability
1258,Infrastructure & utilities restoration,Power lines should be UNDERGROUND,Public v Private,Underground power lines are essential - this needs to happen to prevent future fires.,12.50492382,1.859594703,Bury power lines
1257,Housing & rebuilding,I should not have to shoulder Palisades folks rebuilding in such a high risk area.,Public v Private,Don't want my tax dollars supporting rebuilds in high-risk fire zones like Pacific Palisades.,7.723773003,5.707280159,Rebuilding costs accountability
1259,Infrastructure & utilities restoration,Power lines under ground please,Public v Private,Underground power lines are needed to prevent future fire risks.,12.449193,2.06355834,Bury power lines
392,Financial & legal assistance,"I am very skeptical about how all these insurance companies happened to back out 3 months before these ""wildfires"" happened. I also had issues with State Farm auto insurance around this time.",Public v Private,Suspicious about insurance companies withdrawing coverage just before wildfires occurred. Had personal issues with State Farm auto insurance during this period too.,4.528597355,3.569993258,Insurance industry reform
917,Climate & community resilience,Every home with a pool should have a pump that will allow pool water to be accessed! In Rancho Santa Fe it is required. Insurance companies should offer incentives.,Public v Private,We need accessible pool water for firefighting. Make it mandatory like in Rancho Santa Fe and have insurance companies incentivize this through their policies.,8.824195862,3.731241465,Infrastructure maintenance accountability
767,Infrastructure & utilities restoration,"Admittedly don't know enough here. Eaton fire started well outside of normal pedestrian infrastructure.  Only thing I can add here is that given that good fraction of the community has to start from scratch, now is a good time to revisit infra related issues such as underground power and better broadband.

The water utilities I have less info on. They seem to have bounced back pretty quickly but obviously lessons learned from this one should be considered.",Public v Private,"Since we're rebuilding from scratch, it's a perfect opportunity to improve infrastructure like underground power lines and better broadband. Water utilities recovered quickly, but we should learn from this experience.",11.96027088,0.977060139,Bury power lines
1042,Infrastructure & utilities restoration,"I would like to see several well-publicized and documented rapid pilot programs in various communities in LA that help Angelenos understand the scope and disruption related to retrofitting old systems. Everyone wants to DWP, etc to ""do it"", and they absolutely must, but it would be great to understand what that looks like, how we as citizens need to willingly participate in the process when it's our neighborhood's turn, how this affects our bottom line and what kind of ecological and safety improvements this brings to our communities.",Public v Private,"Want to see pilot programs showing what utility infrastructure upgrades actually look like in neighborhoods - the disruption, costs, and benefits - so residents understand and can better support these necessary improvements.",12.74939537,1.801299214,Bury power lines
590,Infrastructure & utilities restoration,"All important to a functioning community. As usual, the question begs - who pays for this?  Should the folks in Etna, CA be taxed for the folly of building so many high-dollar homes in an obvious fire zone? Should Modesto be on the hook for wealthy home owners in Marin or Sonoma or LA?",Public v Private,"Concerned about fairness in funding infrastructure repairs after fires. Questions why taxpayers across California should subsidize rebuilding in wealthy, high-risk fire zones.",8.147516251,5.589634895,Rebuilding costs accountability
433,Infrastructure & utilities restoration,Bury the power lines. Put in sidewalks.,Public v Private,We need underground power lines and proper sidewalks installed - these basic infrastructure improvements are essential.,13.74559403,2.500345469,Bury power lines
927,Financial & legal assistance,It is important that government provide assistance to protect individual people from illegal or unfair actions taken against them by insurance companies and/or landlords. Government should simplify the regulatory process of rebuilding but should not be using tax-payer money to issue grants for home building or for bringing existing buildings into compliance with new code requirements. Government should not be using tax-payer money to provide legal aid to undocumented residents; this should be a service provided by the private sector.,Public v Private,"Government should protect us from unfair insurance companies and landlords, but shouldn't use taxpayer money for rebuilding grants, code compliance, or legal aid for undocumented residents.",5.376329422,2.272033453,Insurance industry reform
1200,Climate & community resilience,"We need to be proactive and clear brush/trash, bring back the brush eating goats and allow those that owe parking tickets to clean the freeways, like they used to. It should be illegal to start fires on the streets, public parks/forests (unless allowed to BBQ). Taxpayers should NOT be paying for the infrastructure upgrades of for profit electrical companies. When new communities are built, require power lines to be underground or have other safety measures in place that will prevent fires. Electrical companies can also educated the public and if they see something off with a powerline to say something.",Public v Private,"We need proactive brush clearing, stricter fire regulations, and underground power lines in new developments. Utility companies should fund their own infrastructure and help educate the public about fire prevention.",10.26010132,3.135693789,Infrastructure maintenance accountability
703,Climate & community resilience,Ensure power companies are being responsible and maintaining their lines.,Public v Private,Power companies need to be held accountable for proper maintenance of their electrical lines to prevent fires.,8.974633217,3.097517252,Infrastructure maintenance accountability
659,Emergency communication,"The general public has no idea how emergency communications work, much less how ECC's & EM's are staffed, much less how easily overwhelmed 9-1-1 centers (with understaffed centers) are with floods of calls during events like this; and I could go on.  Clearly, there were failures in both the LA City and LA County responses in notifying the public.  Many fell back onto the Watch Duty app, which is privately funded and operated.  It proved itself to be a MORE reliable method of getting notification than from our paid city/county employees. LA should enter into a public/private partnership with Watch Duty, making it the single app to rely on.  For connecting with residents for resources, have your websites pre-made, ready to go prior launching.",Public v Private,Frustrated with unreliable official emergency alerts during the fire. Watch Duty app proved more effective than city/county notifications. Suggests making it the official platform through public-private partnership.,7.893510818,1.18547225,None
