comment_id,comment,topic,opportunity_area
1711,"There may be more education needed about why soil/ water quality/ open space/ habitat restoration is needed to address the fire mitigation issues. Safe debris removal is essential/ should be transparent since there were concerns with the hazardous materials (lithium, synthetics).",Debris removal & environmental recovery,
1710,"To help retain the local residents that were impacted/ future residents that are near fire risk areas, economic development/ workforce development will be essential. If grants are provided, it may be helpful to include local higher education institutions (community colleges, cal states, UCs), to make it more inclusive and a learning opportunity (volunteering/ college internship credit, college corps).",Economic recovery & small business support,
1709,"Mitigation efforts with to reduce wildfire risks. Using prescribed grazing approaches by contracting with businesses that have animals (goats, sheep) to reduce overgrowth of brush/ invasive plants (mustard grass, especially in Southern CA). It seems this was already proposed in CA with Senate Bill 675 - gathering support from LA county stakeholders is essential especially since it covers a large area with hills/ overgrowing brush.",Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1708,Issues if the residents weren't insured/ underinsured. Making sure they receive timely support for rebuilding/ limited redtape. CA may have more strict building codes based on earthquake/ fire concerns. Ensuring the costs/ codes to build appropriately are still accessible based on the incomes/ avoiding exploitation from real estate corporate entities (Blackrock).,Financial & legal assistance,Rebuild quickly or rebuild for resilience
1707,Make everything as simple as possible,Emergency communication,
1706,I hope the area will be rebuilt with many different housing options,Housing & rebuilding,
1705,We live in an incredibly innovative state and have some of the best technology available - let’s bring those amazing resources together to rethink these systems,Emergency planning & community safety,
1704,LA has the opportunity to set the example and lead the way for Southern California and the world on how to rebuild with climate resilience in mind,Climate & community resilience,Rebuild quickly or rebuild for resilience
1703,Helping everyone impacted with a plan and financial assistance will go a long way to supporting mental health,Emotional & mental health support ,
1702,Everyone should have access to transparent data and insights into the soil and water quality,Debris removal & environmental recovery,
1701,"In 2025, it is silly to rely on a 3rd party like Watchduty to share critical wildfire and disaster information with residents. It is also silly that data standards and governance between FDs and emergency agencies are not standardized leading to headaches when building effective, digital emergency info tools. State should really prioritize efforts in digital tooling and notifications to prepare for the next wildfire season.",Emergency planning & community safety,
1700,"Debris removal is essential,  the other items not so much",Debris removal & environmental recovery,
1699,"We need deregulation and free permitting. building Codes are great and needed for public safety but then why is government penalizing citizens, owners and builders by charging them to implement safety codes. Makes no sense! Property taxes are already excessive and should already cover this expense and service to promote safety and avoid the need for people to dodge code or safety requirements.",Financial & legal assistance,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1698,California needs to call in Federal assistance to manage the entire state. Too much of the forest is left unkept. Need to increase logging of old forest so that areas can be managed with planting of new growth. Open it up the private companies to manage.,Climate & community resilience,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1697,"Need to focus on helping individuals save their properties and rebuild. Focus on the children that lost schools, community activities and their childhood because they no longer have a home.",Emotional & mental health support ,
1696,The Mayor of LA needs to be held accountable for the poor management of funds and water distribution. California needs to improve relations with federal government for assistance and come up with a joint plan to mitigate future occurrences. Use AI to determine hot spots and forest Management.,Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1695,"government efficiency. and i don't mean in the DOGE sense. i mean real govt efficiency in designing code that makes sense, isn't bloated, but is very focused on smart building. reducing costs. property values in the area have increased by 3x +++ in the last 30 years. has the cost of running the govt increased by 3x? there should be budget surplus. government ineffectiveness in combo with lack of high information civic participation is the root cause. adding better vent covers is important, but will not solve the underlying issues.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1694,"if we don't address the root causes, this will happen over and over and over. it's physics. we need to address the root causes and focus on prevention.",Climate & community resilience,Individual or collective responsibility for fire prevention
1693,"this isn't just for govt officials, it should be baked into building code, zoning, and planning. but not in the typical, gross, broad stroke kinda stupid way the county usually does everything, but in a really smart, focused, well considered way.",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1692,"partially, the new code requirements should be evaluated by DISINTERESTED 3rd party experts to make sure they actually do something. so much code is basically lobbied into existence by people and companies who gain from requiring expensive, spurious non-sense. there should be significant legal aid for that effort.",Financial & legal assistance,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1691,"prevention, prevention, prevention. this was a preventable disaster. that's where all focus should be.",Emergency communication,Individual or collective responsibility for fire prevention
1690,"i think this is very important, but the way to deal with it is to actually support people getting back on their feet, not providing mental health services.",Emotional & mental health support ,
1689,"this should be focused on prevention and rebuilding in such a way as to create resilience, not rebuilding in the old way then creating warning systems to alert us when history repeats itself.",Emergency planning & community safety,Rebuild quickly or rebuild for resilience
1688,"people should absolutely be allowed to live on their properties while they rebuild. it's crazy to be paying a mortgage on a property that you can't live on while you figure out how to rebuild your home. there should also be clear public information about what is permittable in the area and the county should be educated about it and required to expedite it. they often give wrong information. last, permitting fees for building new ADU (that weren't there before the fire) should be permanently waived. the cost of permits is often 50% of the total ADU budget.",Housing & rebuilding,Rebuild quickly or rebuild for resilience
1687,working with the county is extremely difficult and time consuming. policies mostly don't make sense and are often conflicting. this is an opportunity to streamline the processes without degrading the quality of the outcome.,Economic recovery & small business support,Rebuild quickly or rebuild for resilience
1686,"ongoing monitoring of toxicity in the soil, air, ground water, and ocean water that's displayed publicly and updated weekly so we can see what's really happening.",Debris removal & environmental recovery,
1685,I hope this is satire.,Emergency communication,
1684,"I agree. When the light on Sunset and Bienveneda went out, it made it really challenging to evacuate the school, with parents braving the busy intersection on foot to direct traffic. That light went out previously during high winds just before Christmas and it made the intersection very dangerous.",Emergency planning & community safety,"Making space for more residents, or limiting housing density"
1683,"Insurance claims, grants for home rebuilding is essential if we are to be able to rebuild while we continue to pay our mortgage and extremely high rents.",Financial & legal assistance,
1682,The debris removal process was handled with great customer service and sensitivity. It is going well in Altadena!,Debris removal & environmental recovery,
1681,CA needs to go through a DOGE like process,Emergency communication,
1679,Smart habitat restoration. Not clearing out debris etc. that create fuel for fires should not be an option,Debris removal & environmental recovery,Individual or collective responsibility for fire prevention
1678,CA should just call the entire state a WUI CA Fire zone. No more pockets where CA Fire WUI regulations are not in place,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1677,"focus on rebuilding, that would alleviate stress & help mental health",Emotional & mental health support ,
1676,I believe people should be allowed to live onsite in trailers while they rebuild for practicality reasons,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1675,"Using materials that are CA Fire WUI compliant. Material backed by WUI testing, some products such as cement were not tested apparently and rubber stamped as an approved product. However, cement can transfer heat. Any material approved by CA Fire for WUI zones should have to be tested.",Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1674,Allowing more flexibility with adding ADUs will support our entire community. Can this be incentivized in some way.,Housing & rebuilding,"Making space for more residents, or limiting housing density"
1673,Please put as many power lines underground as possible.,Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1672,It would be extremely helpful for ongoing grants to be available for folks that are rebuilding Altadena. Continuing to pay mortgage and rent is extremely difficult.,Economic recovery & small business support,
1671,The debris removal process was outstanding and done with excellent customer service and sensitivity to our situation.,Debris removal & environmental recovery,
1670,An online system to report my insurance company for not following their own guidelines and policies for covering our losses that are clearly outlined in our contract.  I have to drive 46 miles from home to work post-fire when I had less than one mile drive pre-fire. My insurance adjuster says my wife and I should ride together when we work different jobs at different start and end time. They also state that we should not be eating out so much since we rented a place with a kitchen...we leave before the sun comes up and return home at dark and dont have time or energy to cook meals at home. This is not being a good neighbor as their tagline says.,Financial & legal assistance,
1669,Need to test soil before rebuilding,Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
1668,Another easy fix,Emergency communication,
1667,This should be an easy fix,Emergency planning & community safety,
1666,Building code needs to emphasize fire safe,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1664,Nothing missing.,Prioritize recovery themes,
1663,We need continued presence of local officials to continue to assist and shine through the fire and devastating times.,Prioritize recovery themes,
1662,"Insurance companies make their money on being able to predict risk. I think if an insurer says it's too risky to live somewhere, we should listen.",Prioritize recovery themes,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1661,"Listen. To. The. Insurance. Companies. When a business is reliant on predicting a property's risk of fire damage, and they charge exorbitantly to insure it (or don't insure it AT ALL), people should not be permitted to build housing there. Period.",Prioritize recovery themes,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1660,"Replacing sprawled, high-fire risk areas with natural buffers against fire.",Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience
1659,"Housing policies must change--it's why California loses close to ~100k people annually. Allow density--ADUs, small apartment buildings, big apartment buildings. Less public comments where elderly homeowners of multi-million dollar properties get to gripe about more people living in their neighborhood. This problem will not be remedied without embracing density.",Housing & rebuilding,"Making space for more residents, or limiting housing density"
1658,"Don't need tax relief as much as streamlining approvals to get businesses back open, and densifying neighborhoods to make small businesses more profitable. Best way to assist local businesses is to get them back open again and as easily accessible as possible.",Economic recovery & small business support,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1657,"Infrastructural changes are necessary. They are also incredibly expensive. Burying power lines throughout the city is incredibly expensive... who is going to pay for it? You need a more robust, dense tax base. 

These analyses of different cities have been done by Urban3, which reveals how tax revenue/acre increases with density. Greater density would easily help to fund the necessary infrastructure improvements.",Infrastructure & utilities restoration,"Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Making space for more residents, or limiting housing density"
1656,Warehousing of resources is easy with more responsible developmental practices. More people living more densely = more dense collection of resources.,Emergency communication,"Making space for more residents, or limiting housing density"
1655,"The government's attacking insurance, as someone from the southeast US, is strange. Governmental agencies let the city of LA develop and sprawl into high fire-risk areas. Insurance companies, like when people build beachfront homes in hurricane country, jacked up the insurance rates. When an insurance company says an area is dangerous, believe them.

Forcing other taxpayers to supplement a ""wood home in a tinderbox"" is ludicrous. Saying it's the homeowners' fault for having a home in a tinderbox is likewise insane; they aren't fire experts.

The blame for the Palisades fire's destruction lays at the feet of the negligent county, city, and state level officials who allowed people to build/buy homes and root their lives in the line of fire.",Financial & legal assistance,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1654,"Think inline with holding agencies accountable extends to after wildfires. We are seeing little to no approvals for housing reconstruction or repair. Beaucratic lallygagging post-crisis, when people have lost their homes and possessions, is entirely unacceptable",Wildfire prevention prioritization & accountability,Rebuild quickly or rebuild for resilience
1653,I echo past comments for a more efficient alert system.,Climate & community resilience,
1652,"In the absence of available personnel to direct traffic, there must be some technology in this day and age to serve that function through programming of the traffic lights.  Or have someone coordinated at the switch station with air ops to identify where traffic is building to change the traffic light patterns.",Emergency planning & community safety,
1651,"It seems like a misnomer and false lead to say that wildfire, rather than wildfire risk reduction, can be prevented in the current way we build infrastructure, where land uses are sited, or how humans behave. Effective approaches such as managed retreat and undergrounding of electrical infrastructure are either too costly, too politically charged, or other ""too"" that prevents long-term effective change. It takes some strong political will along with a growth plan (with growth limits) to say that some areas, like repeated burn communities, are off limits to development.",Wildfire prevention prioritization & accountability,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1650,Train community groups like town/neighborhood councils and CERTs on defensible space/structure hardening and have them conduct community-wide property reviews and education. Does not have to be an enforcement or narc approach but rather an offering of information specific to the property; it can even be a checklist on a trifold that checks off items that need to be retrofitted and specific instructions for the retrofit inside. It takes a village to educate but there's heavy reliance on the few in the government.,Climate & community resilience,Individual or collective responsibility for fire prevention
1649,Tax relief for fire hardened houses and neighborhoods. The more contiguous houses that are fire hardened the more tax relief/house. So we encourage NEIGHBORHOODS to communicate and cooperate,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1648,Others have mentioned the elephant in the room - home owners insurance in CA. This is going to continue to be a massive problem unless a sustainable solution is found. The reality is that most of the people I grew up will not be able to afford to return to the Palisades because they were massively underinsured. This is heartbreaking.,Prioritize recovery themes,Public or private sector responsibility for utilities and infrastructure
1647,One website. Great UX. AI chatbots.,Emergency communication,
1646,"Sorry, but there are many nonprofits and for-profit organizations who can provide these services",Emotional & mental health support ,
1645,"I cannot tell you what a nightmare it has been for those of us who have homes still standing to navigate insurance. Most of the information at town halls and webinars was for total loss, which is a more clearly defined insurance process. The rest of us were basically expected to go back into our toxic homes and had to fight like hell for every ounce of ALE and smoke remediation to be covered. We are so grateful for Ricardo Lara and his staff for their help putting pressure on the insurance companies, but it would be great if the agents had the capacity to offer more guidance and support",Financial & legal assistance,Public or private sector responsibility for utilities and infrastructure
1644,"It's a bit silly that this needs to be stated but - listen to scientists. Not politicians, not lay people. Scientists know what actually prevents fire. They have expressed many times that prescribed burning of natives only increases the likelihood of increased invasive grasses that are flammable. Beyond that, of course increases to  firefighting staff during extreme weather/la Nina would be sensible.",Wildfire prevention prioritization & accountability,
1643,"This is a unique opportunity to plan infrastructure in an older part of the city. Might as well do it properly since we have to do it. In addition to the power lines being buried, I'm wondering what thought is being given to runoff to prevent flooding, mudslides, etc. I know there are some sidewalk/street materials that allow water to percolate through them (Tree People would be a great resource) and rain water catchment systems under landscaping (like at Santa Monica College).",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1642,Consistent testing and transparency please,Debris removal & environmental recovery,
1641,I'm so worried for the local businesses. I don't know how any of them will survive this.,Economic recovery & small business support,
1640,MUST have underground power lines!  Its 2025 for goodness sakes.  The water systems are also archaic and are long overdue for an overhaul,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1639,Allow people to do what they need to do to rebuild.  EVERYONE is going to have a significant shortfall when it comes to rebuilding.  Clear the way so there are less hurdles,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1638,5g. Nixel alerts. We use walkie talkies in our neighborhood for emergencies. Drill the neighbors on evacuation plans.,Emergency communication,
1637,This should be seen as an opportunity to do in ground power lines. 5g cell towers. Water collection from roofs into cisterns. Pedestrian and bike friendly infrastructure.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1636,All lots need to be cleared bc it cannot really be cleaned up if toxic material is airborne. There should be a city wide emergency day that educates people on safety and evacuations (Japan does this for earthquakes). It can be led by the city w/localities doing their own area-specific drills.,Climate & community resilience,
1635,Fences can often be conduits for fire. Just starting to hear more about this. Overall fire hardening.,Climate & community resilience,
1634,"Engage all fire victims so they can help create their community. Offer support, listen. Allow them to build a temporary shelter if they want or need to live on their property while rebuilding.",Emotional & mental health support ,Rebuild quickly or rebuild for resilience
1633,There is currently a grant for adu prebuilding costs - expand this program.,Financial & legal assistance,
1632,Provide shelter even if temporary w/tiny home or mobile unit while rebuilding. Look at Sonoma county after their fires-lots of people lived in temporary units on their lot while rebuilding. Also the county had a dedicated fast track team to process building permits.,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1631,Fireburns in open space to keep fireload low. Increase staffing during high winds/dangerous period.,Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1630,Incentives like grants for prior businesses and tax free status for a period of time,Economic recovery & small business support,
1629,We need a solid framework for future homeowners insurance in the area that we can plan toward.,Prioritize recovery themes,
1628,Consistent soils testing across the community,Debris removal & environmental recovery,Individual or collective responsibility for fire prevention
1627,"Construction cost escalation from date of the fire to completion of homes will vastly exceed anyone's insurance settlement.  There was 6% per year escalation before the year, 9% in the last year, and will increase based on the massive reconstruction from the two major fires, tariffs, and regional labor shortage",Financial & legal assistance,
1626,"Undergrounding power as feasible.  Also, roads are already notably damaged by heavy equipment. Many will require road replacement (including new grading and base)",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1625,"The logistics of the rebuild need to be carefully orchestrated the way the debris removal has been handled so well. The ACE has done an incredible job! Getting all these contractors and subcontractors in and out of the Palisades is going to be really complicated. Also, few are talking about the cost of insurance after the rebuilding. What good will it do if we get our places rebuilt but then can't afford the cost of insurance?",Prioritize recovery themes,
1624,Bury all the utility lines!,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1623,"Fire hardening is a good idea. Give us suggestions and guidelines,",Climate & community resilience,Individual or collective responsibility for fire prevention
1622,"I thought the communication about the upcoming high winds and evacuation were very good. I got numerous text messages I had signed up for. I felt like I got enough notice on evacuating. The coordination of traffic was very poor. No excuse of the gridlock on Palisades Drive, we are all lucky many people up there did not die.",Emergency planning & community safety,
1621,"As the saying goes, talk is cheap. What we need to see is physical action. So far, there has been an impressive response from the federal government and the utility companies. The rest of the state, county and city response has been mostly talk. That needs to change.",Prioritize recovery themes,
1620,"The state needs to investigate what actually happened in the Palisades Fire and how it burned through the entire village. I know it's politically incorrect to say it but our fire department let us down. The only way we can prevent it from happening again is to learn from our mistakes of the past. If Caruso's ""Village"" could have been spared why couldn't the overall village be protected? Why were 1,000 LA firefighters sent home the evening of Jan 7 so we didn't have to pay them overtime? Why weren't at least a dozen fire trucks proactively sent up into the hills BEFORE any fires started (as they had been in years past under similar windy conditions)? Why were there seemingly no fire trucks in the village as the fire hit the overall village?",Wildfire prevention prioritization & accountability,
1619,"ADUs may allow homeowners to recover an economic loss, but more residents will add to the evacuation problem.   It is not practical or safe to keep adding residence to a community that only has two roads in and out.",Housing & rebuilding,"Rebuild quickly or rebuild for resilience;Making space for more residents, or limiting housing density"
1618,"The Sunset / PCH intersection needs an overpass to eliminate the light for southbound traffic.   That is the only way to get residents out and first responders in quickly.   The command center should be able to change traffic light cycles remotely to keep traffic away, get residents out and get first responders in quickly.",Infrastructure & utilities restoration,
1617,"All the first responders failed during this event, starting with the LA City Fire department that did not have equipment preposition for a very dangerous weather event.   The police response was also delayed. Both departments are seriously understaffed, possibly due to unaffordable compensation costs.   Whatever the case, both departments need to be staffed at per capitalevels that are comparable to other large cities in the United States..",Emergency planning & community safety,
1616,Help the people who had mobile homes get back onto that land. That is the remaining middle class in the Palisades and we must not let it be overtaken by rich real estate developers.,Financial & legal assistance,
1615,"All debris must be cleared from all properties. It can be done privately but if anyone refuses or abandons their lot it must be removed even if a lean must be implemented against the owner and property. We can't have toxic waste that's both dangerous and unsightly to remain. Also, all the utilities must be buried underground. MUST. No exceptions.",Debris removal & environmental recovery,Public or private sector responsibility for utilities and infrastructure
1614,"Aside from grants and loans, consideration might be given to a tax relief program for the wildfire area.",Economic recovery & small business support,
1613,Make sure some of the new commercial real estate in the village is affordable and isn't just The Village in the Palisades part II.,Economic recovery & small business support,
1612,We need clear guidance on fire resistant best practices. Most of the guidance is tailored to homes in rural areas.  It does not apply to homes that are 10 feet apart in a city suburb.,Climate & community resilience,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1610,"The evacuation notice came ridiculously late. It should’ve come immediately when the fire department first knew that the fire was out of control and could not be contained. Serious consideration should be given to putting in an interchange at the sunset and Pacific Coast Highway intersection that eliminates the traffic light there for traffic getting onto the PCH South. The Chautauqua PCH intersection is another bottleneck, and evacuation needs to be prioritized immediately during an emergency event.",Emergency communication,"Making space for more residents, or limiting housing density"
1609,"However, the environmental recovery should include a plan to establish and maintain fire breaks in the Santa Monica mountains above and around the town. The area managed by the conservancy and the state parks in the mountains are really wild animal parks, and should be treated and managed as such balancing the needs of the animals against the safety of the surrounding communities. The historical approach is resulting in larger and more frequent wildfires. So something clearly has to change.",Debris removal & environmental recovery,Rebuild quickly or rebuild for resilience;Individual or collective responsibility for fire prevention
1608,Preparedness training is also a great way to reinforce community connection on human scale,Climate & community resilience,
1607,"Rebuilding assistance should take into account what we know about fire and other disasters to guide ""smart"" rebuilding",Financial & legal assistance,Rebuild quickly or rebuild for resilience
1606,Rebuilding is important - and should be required to reflect the changed nature of our environment and be as resilient as possible,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1605,We should be considering discontinuing natural gas lines to neighborhoods that opt in for that.,Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience;Public or private sector responsibility for utilities and infrastructure
1604,"The state of California has done a horrible job with forest management, firebreaks and accountability.",Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1603,I don't know what the city and state's wildfire adaptation policies are. Is the public aware of them?,Climate & community resilience,
1602,"I was shocked at how poorly the city handled the Palisades fire.  No water, no reservoirs, no police to handle traffic evacuations",Emergency planning & community safety,
1601,"Can't we make it easy for folks to get their questions answered, know of a place to go for information, get help?",Emergency communication,
1600,It seems the perfect time to coordinate these plans while the area is planning for rebuilding.,Emergency planning & community safety,
1599,The area must be made safe for all recovery efforts.,Infrastructure & utilities restoration,
1598,Anything that can be done to help the people affected by this horrible situation must be done--so that healing and rebuilding can take place.,Emotional & mental health support ,
1597,"- Transparency on the communication between government officials and LAFD on the day of the fire. 
- Understanding insurance options in the coming years for those who choose to rebuild in these communities
- Reprioritizing how government spends our tax dollars so that essential services to residents do not fail in times of an emergency.
- If response of essential services was so challenged in localized emergencies such as Palisades Fire and Eaton, does the city/county/state have a better plan in place for a larger emergency; ie Earthquake that devastates all of Los Angeles?",Prioritize recovery themes,
1596,Support/grants for pre-fire established small businesses that have been impacted by the fires.,Economic recovery & small business support,
1595,There must be a deadline with real implications for those who do not clear their lots in a timely manner. Testing for all lots (whether burned or not) to ensure the community is safe.,Debris removal & environmental recovery,
1594,"I would also add that identifying and trying to preserve any historic or culturally significant sites, as well as architecture, would be important this process and integrating preservationist into the process would be ideal.",Debris removal & environmental recovery,
1593,"- Putting utilities underground - Palisades never had good phone or internet reception (esp ATT) unless connected to a specific Wifi, this can be improved - Look to establish a public middle school in the Palisades - Filling and maintaining a reservoir at all times - Getting out of the Palisades (whether during a fire evacuation or during morning or afternoon rush hour) was always tough - especially on Chatauqua and the left turn onto PCH - it could take 20+ minutes to get down.",Infrastructure & utilities restoration,Rebuild quickly or rebuild for resilience
1592,Expedited permitting time and the cost of permits for rebuilds should be waived - these rebuilds are not being done by choice but by necessity and a result of government not being prepared and letting an entire community burn to the ground overnight.,Housing & rebuilding,Rebuild quickly or rebuild for resilience
1591,"Over the last few years, as a private property owner, I have received Brush Clearance notices for my property. At one point, I was substantially fined - although I had documentation my lot was clear. No matter what had been happening in my life (a parent passing, Covid, a sick child) I was required to clear brush on my property. Why isn’t the City, County, State held to these same requirements? 

I also think basic services that prioritize the safety of our communities - the police, fire department, schools, infrastructure - need to be funded first. We pay too high of taxes in LA and CA for these services not be available to residents when they are needed (ie; firefighters to put out fires, fire hydrants that work, etc)",Wildfire prevention prioritization & accountability,Public or private sector responsibility for utilities and infrastructure;Individual or collective responsibility for fire prevention
1590,The Palisades community had been asking about evacuation routes for many years and none was made clear. We are all very fortunate that Palisades High was not in session on the day of the fire as the City had issues evacuating the number of people in the Palisades without having 1000s of students also in session. There seemed to be a lack of coordination with traffic control once evacuation orders were given leading to residents abandoning their cars on Sunset. What and how traffic control plans will look like in future evacuations is a significant question.,Emergency planning & community safety,"Making space for more residents, or limiting housing density"
1589,Keeping roads closed to none residence until rebuild is complete is prudent.,Prioritize recovery themes,
1588,Agreed,Economic recovery & small business support,
1587,Agreed,Infrastructure & utilities restoration,
1586,This should be self-evident by now.,Climate & community resilience,
1585,"As many know, in California the vast majority of fire prone areas are the responsibility of the federal government. Our representatives should continue to press the federal government to do their part. The wildland/urban intersections are where state and local jurisdictions should continue to focus their efforts.",Wildfire prevention prioritization & accountability,Individual or collective responsibility for fire prevention
1584,"No comments to offer, but I realize that this is important. I leave it to the experts to offer concrete suggestions.",Emotional & mental health support ,
1583,"Local jurisdictions should be kept up to date on emergency planning. I realize that many local jurisdictions don't have a lot of resources to keep this as a priority. Perhaps state and federal resources can be tapped to support this effort on a local level. Mutual Aid, especially in the fire response function, works extremely well in California, and it would be well to encourage this in all functions of emergency management.",Emergency planning & community safety,
1582,Agreed,Emergency communication,
1581,"Good point, that should be widely disseminated.",Emergency communication,
1580,Agree,Financial & legal assistance,
1578,"I don't know if I would classify it as a ""theme,"" but I believe that using a disaster as a time to do better, to improve the situation, as well as addressing the immediate needs is important.  Coming to agreement on some of the ""facts"" is also important.",Prioritize recovery themes,Rebuild quickly or rebuild for resilience
1577,"After a major natural disaster is NOT the time to decrease funding at the basic firefighting level.  And yes, agencies at all levels should be accountable to the people they serve.  As noted above, transparency and truth is needed to ensure that the money goes where it should.  I do believe that non-partisan oversight is needed.",Wildfire prevention prioritization & accountability,
