Main_theme,Subtheme,Subtheme_Description,Main_Theme_ID,Subtheme_ID
Public-facing services and resident experience,Public transportation,"Comments about public transit access, reliability, or affordability.",7,40
Public-facing services and resident experience,HCD (Human-Centered Design),Comments about user research and design thinking to improve services or programs.,7,41
Public-facing services and resident experience,Public policy initiatives,Comments and ideas related to public policies and public-facing governmental programs and action plans.,7,42
Technology and digital innovation,Technology and data modernization,Comments about updating legacy data and technology systems or standardizing technology across departments.,8,43
Technology and digital innovation,AI and LLMs,Comments about using artificial intelligence or large language models to improve government work.,8,44
Technology and digital innovation,Software and tools,Comments about adopting or improving software tools used by employees.,8,45
Technology and digital innovation,State cloud storage,"Comments about secure, efficient, or standardized cloud storage for state data.",8,46
Technology and digital innovation,Shared data,Comments about sharing data across or between government agencies for efficiency.,8,47
Technology and digital innovation,Accessibility,Comments about making government content and tools usable by people with disabilities.,8,48
Technology and digital innovation,Digital services,Comments about creating or enhancing online services and platforms offered to residents of the state.,8,49
Workforce hiring and talent management,Employee pay and benefits,"Comments about employee compensation, including pay, hours, and benefits such as health insurance or leave.",9,50
Workforce hiring and talent management,Hiring and recruitment,Comments about simplifying or enhancing the processes for attracting and hiring talent for state positions.,9,51
Workforce hiring and talent management,Onboarding new employees,Comments about improving the training and orientation of new hires.,9,52
Workforce hiring and talent management,Understaffing,"Comments about staff shortages, the need for more staff, or workload imbalances.",9,53
Workforce hiring and talent management,Career growth,Comments about creating opportunities for advancement or professional development.,9,54
Workforce hiring and talent management,Mentorship programs,Comments about pairing employees for guidance and learning.,9,55
Workforce hiring and talent management,Limited-term positions,Comments about addressing challenges or opportunities with temporary roles.,9,56
Workforce hiring and talent management,Job classification,"Comments about updating or clarifying job titles, duties, or classifications.",9,57
Workforce hiring and talent management,Employee performance reviews,Comments about how employee performance is measured and reviewed.,9,58
Workforce hiring and talent management,Qualified staff,"Comments about hiring, utilizing, or retaining employees with the right and appropriate skills and expertise.",9,59
Workforce hiring and talent management,Employee retention,Comments about reducing employee turnover or employees desire to stay at their jobs.,9,60
Workforce hiring and talent management,Employee training,Comments about employee learning and development opportunities and ensuring employees are trained in the right skills.,9,61
Workplace operations,Remote work and return to office,"Comments about flexible work options, telework, hybrid schedules, or office return policies.",10,62
Workplace operations,Office management,"Comments about facilities, workspace organization, or other physical office-related management.",10,63
Workplace operations,Employee travel,"Comments about streamlining or improving travel policies, approvals, and reimbursements for parking and other employee travel.",10,64
Workplace operations,Environmental sustainability,"Comments about workplace practices relating to environmental stewardship, carbon emissions, and uses of natural resources",10,65
