COMMENT_ID,CATEGORY,SUBCATEGORY,CONTENT,UMAP_1,UMAP_2
1333,Emergency planning & community safety,Emergency warning systems,Update how to warn people. In Paradise CA the warning technology all failed. All cities should be required to test. If LA tested their systems after the Campfire 7 years ago they would have known their current system or technology needed to be improved.,6.754762173,8.240316391
1397,Emergency planning & community safety,Emergency warning systems,"Use additional, non-complex-technical solutions (air raid sirens), neighborhood alerts, RYLAN",7.276782513,7.275445461
1442,Emergency planning & community safety,Emergency warning systems,We absolutely need an emergency alert system that does NOT depend on cell/wifi connection and electricity.,7.410896301,6.81614542
1571,Emergency planning & community safety,Emergency warning systems,"We have the capacity to send out warning of tsunamis, earthquakes, and fires, as well as what areas are at immediate and future risks.  This capacity should be used to ensure that accurate text message alerts go out as soon as possible.",6.616710186,7.495516777
1717,Emergency planning & community safety,Emergency warning systems,"This fire was unprecedented in that the winds created a very fast moving fire.  I think the city did a good job alerting people to high fire risk prior to the windstorm, as long as residents were signed up for the city's NotifyLA system and looked at NOAA reports ahead of time.  I don't know how best to get alerts to all citizens, especially the elderly who may be technology averse.  Maybe start with a cell phone push to alert citizens of fire risk, and I think it is also the responsibility of the residents to prepare adequately too for rapid evacuation.",5.311812401,6.639170647
308,Emergency planning & community safety,Evacuation planning,I feel like fire safety is and should be number one on our priority list I say this because not just the la fire but the fire in 1980 in Kansas at my house when I was a little girl not only did I lose my belongings my brothers and I lost being able to have both parents and I don't believe they would have been divorced if that fire never happened so yes fire first safety is priority.thank you Wanda,3.779460907,5.506941319
313,Emergency planning & community safety,Evacuation planning,we 100% need a better plan and to practice emergency evacuation in the palisades. the fact that people had to abandon their cars or go BACK to their houses in harms way can and will lead to more deaths if this ever happens again. creating more fire roads and also having a plan to get emergency vehicles in from different route would help.,2.162431479,3.345978737
328,Emergency planning & community safety,Evacuation planning,people had a hard time getting out of the Palisades. I'm not sure how these could be improved,2.273421526,2.546051502
365,Emergency planning & community safety,Evacuation planning,The state needs to plan for car-free evacuation options for every community. Cars are not a reliable way to get out of a canyon when a fire is coming. Run public shuttles or give people ebikes.,2.102751493,4.123930454
398,Emergency planning & community safety,Evacuation planning,The agencies Hazard planning as part of the General plans are a joke. Bike lanes and roadway reductions with no plan to evacuate. Most say shelter in place.  Overbuilding and no plan to evacuate.  Big tragedy and then the problem is ignored.,3.839276791,4.654968262
408,Emergency planning & community safety,Evacuation planning,"prepare by using the practice drills used in schools.  There should be surprise drills in all LA neighborhoods so we can work as a community.  Clear instructions, car exits, walking, public buses should be part of these drills.  This will take a large amount of time but we have expertise. The only way to be PREPARED is to work together in our preparation.",2.163234711,5.132529736
418,Emergency planning & community safety,Evacuation planning,There should always be multiple ways out of a community.  LA Board of Supervisors should not approve developments that have only one way in and out of a canyon.,3.120002508,2.72551918
521,Emergency planning & community safety,Evacuation planning,"What warning systems?  Palisades had evacuation routes, only there weren't nearly enough of them.  It is shocking to me that there weren't hundreds of people killed in the Palisades.  And yet development continued on, knowing full well that the routes were grossly inadequate to carry the people out fast enough.  Criminal.",2.844654322,2.987568378
666,Emergency planning & community safety,Evacuation planning,"Fire personnel, pre-position, pre-position, PRE-POSITION!!!!!",3.676182032,4.772537231
993,Emergency planning & community safety,Evacuation planning,We need to have better processes and procedures to train all communities on emergency evacuation!! to prevent future disasters like this one to happen again!! Preparation is key to ensuring everyone safety'n,3.037874699,4.965750694
1002,Emergency planning & community safety,Evacuation planning,"I very much agree that we need more community outreach and education. In addition to providing this for long-time residents, I also think that new residents need better information. I moved to LA recently, and I feel like I was totally unprepared for the situation. I wish I had gotten some sort of ""welcome packet"" telling me what I needed to know.",3.707663536,5.846128941
1004,Emergency planning & community safety,Evacuation planning,Absolutely! We can move something like 40x as many people in a bus than a car. Take your go bag and any pets and leave everything else. Losing your car to the fire is a small price to pay to save your neighbors' lives.,1.906859636,4.483342648
1052,Emergency planning & community safety,Evacuation planning,"Without drills or tests of the system, there is no way to have confidence in its reliability.  There are no evacuation routes for our canyon areas. LAFD has told us they will assess the situation at the time. To avoid the chaos from the Palisades evacuation is for everyone to evacuate when asked and not wait.  Or if possible, evacuate when it's a warning. And to do that you must be prepared before a fire breaks out. Get those GoBags packed!",1.85117054,4.349376678
1064,Emergency planning & community safety,Evacuation planning,"There are evacuation routes available for the public to use in canyon areas, please check with CAL OES, LA City, or LA County Fire for more information. The state has a ""ready-set-go"" emergency system. The fast spread of the palisades fire made the system go straight to GO forcing thousands of people to evacuate at a single time. The key to improving this is improving access via alternative modes of transportation. The canyon roads are already built to their widest extent.",2.026068211,3.231735945
1191,Emergency planning & community safety,Evacuation planning,"1) The Sunset Fire evacuation did not have as much chaos that the Palisades Fire had. I believe that Red Flag Parking Restrictions should be expanded.

2) There was an evacuation warning before the order. I think that as soon as a fire breaks out, everything in the fire's path should be evacuated.",2.36796999,2.879905701
1243,Emergency planning & community safety,Evacuation planning,My grandmother had a hard time getting out on Palisades Dr. There needs to be more than one way in and out of fire-affected areas.,2.733738899,2.891386271
1292,Emergency planning & community safety,Evacuation planning,"Regarding evac routes: like Paradise, CA, my town has only one road that leads into and out of the area. It's a narrow, winding two-lane road, making evacuation slow. It's essential that people be able to leave well before evacuation becomes mandatory (see my earlier note about temporary housing coverage gaps), so that we aren't all trying to navigate that route at the same time under duress. 

There are two other potential evac routes--an unpaved route through a State Forest and a paved road that's half collapsed due to erosion. Both are currently impassable and essentially death traps, but they could be turned into functional evacuation routes if funds were made available. I'm sure similar opportunities exist in other communities.",3.676577091,3.273530245
1353,Emergency planning & community safety,Evacuation planning,"In high-risk areas, further development must be tied to adequate evacuation routes",3.075409174,3.918880224
1368,Emergency planning & community safety,Evacuation planning,There has to be a more reliable warning system. People dumping their cars and blocking the road should never have happened. Come up with community evacuation plans,2.289219856,3.851040125
1385,Emergency planning & community safety,Evacuation planning,"This has to become the rule in neighborhoods, block clubs, community organizations and cities in the County.  Citizens need to be prepared, informed, and ready to handle whatever comes their way in an emergency, assuming that no one is coming to save them.  We need to have EMT/CPR skills on our blocks, have a communication system that is analog in the case of no communication, and a way to account for and support each other in scenarios where city and county services are over-taxed and not able to provide the level of support needed.  We need to get EMERGENCY READY, whether for fires, floods, earthquakes, or more unthinkable events such as sabotaging our communications and other infrastructure, which are currently very vulnerable.",2.663056612,5.688427448
1387,Emergency planning & community safety,Evacuation planning,"I think all CERT training needs to be essential. When I was at school at St Rose Simi Valley in 2001 we had an entire week dedicated to learning what it was like to prepare. I think we've forgotten it. My nephew didn't even react the other day when we had a 4.5 earthquake. He didn't even acknowledge it. We need to prepare children from a young age. All cities should look at Laguna Beach, they offer free or $50 first aid/earthquake kits. All Middle and HS should require students take CERT classes. Making supplies accessible and affordable at all times. We are the most profitable state in all of the country. Reliable warning systems as well. Not ones that go off for t",2.73537159,5.428526878
1478,Emergency planning & community safety,Evacuation planning,Neighborhood councils should be responsible for organizing community meetings with emergency response agencies to develop community plans in an emergency.,3.105290651,5.387992859
1499,Emergency planning & community safety,Evacuation planning,"Give LAFD stations 23 and 69 a seat at the table to make a plan for next time and approve whatever they say we need. 
Also, it worked to have LAPD hold a line of residents back in a safe location up the canyon, and only let us out in batches after the bulldozer came. Thank you to whoever finally gave that order.",3.196368456,4.279241085
1516,Emergency planning & community safety,Evacuation planning,"To put this simply, the Incident Command System needs to be revamped or improved to ensure the community knows what to do in wildfire emergencies.  It would be beneficial to the community to conduct annual drills, training, and more outreach to educate those prone to wildfire. For example, I'm not sure everyone knows about FEMA's Incident Command System or what CalOES does; but they should. Especially if they live and work in areas prone to wildfire. CalOES may even need offices in these areas to ensure such actions are implemented.",3.74559021,5.742387772
1532,Emergency planning & community safety,Evacuation planning,Need to have realistic evacuation routes and communications given the densities of people or restrict building to reduce the density.  Mandatory training drills might be useful.,2.598711967,4.629648685
1555,Emergency planning & community safety,Evacuation planning,"I think all of these systems need to be reviewed from the bottom up and out as well as from the top down. Creating voluntary neighbourhood emergency councils, coordinated and supported by agencies and city councils can create a resilient community ecosystem for responding to disaster in the longer term. Evacuation routes are problematic in this area: it took us 2 hours to travel a distance that normally takes 15 minutes when evacuating and that was actually on us for leaving it until the last minute to evacuate. We've learned for the future and are sharing our learning with others!",3.201451778,4.844116688
1590,Emergency planning & community safety,Evacuation planning,The Palisades community had been asking about evacuation routes for many years and none was made clear. We are all very fortunate that Palisades High was not in session on the day of the fire as the City had issues evacuating the number of people in the Palisades without having 1000s of students also in session. There seemed to be a lack of coordination with traffic control once evacuation orders were given leading to residents abandoning their cars on Sunset. What and how traffic control plans will look like in future evacuations is a significant question.,2.742370129,3.420547724
1652,Emergency planning & community safety,Evacuation planning,"In the absence of available personnel to direct traffic, there must be some technology in this day and age to serve that function through programming of the traffic lights.  Or have someone coordinated at the switch station with air ops to identify where traffic is building to change the traffic light patterns.",3.708583593,3.855996132
1684,Emergency planning & community safety,Evacuation planning,"I agree. When the light on Sunset and Bienveneda went out, it made it really challenging to evacuate the school, with parents braving the busy intersection on foot to direct traffic. That light went out previously during high winds just before Christmas and it made the intersection very dangerous.",3.384694338,3.533747196
375,Emergency planning & community safety,Emergency response improvements,"It is understood that warning systems, evacuation routes, and inter-agency coordination are in place; however, these measures were not followed when they were most needed.",3.383839369,7.362244606
481,Emergency planning & community safety,Emergency response improvements,There were no firefighters around when our house burned down.,3.613245726,8.62793541
587,Emergency planning & community safety,Emergency response improvements,"Knowing a full week in advance that winds were coming, there was no excuse for LA Fire to wait UNTIL fires had begun before deploying. There was no excuse for the city's top exec to be out of country.

And clearly, there was not a well rehearsed protocol for what to do in a major fire storm. All of this is inexcusable.

Today technology allows for alerts to be given so people can leave an area before the danger arrives, not flee their possessions and elderly or inform as fires encroaches on their own life. 

Going forward, the State of CA should implement a disaster protocol set and incentivize cities to train and follow it when those towns are located in obviously risky fire or earthquake zones.",3.707924604,7.8974967
601,Emergency planning & community safety,Emergency response improvements,"Half of our community was warned too late. If they had been given alerts on time, many more lives, homes, and belongings could have been saved.",3.240833759,9.045906067
612,Emergency planning & community safety,Emergency response improvements,"Although I evacuated relatively early (9 pm 1/7), I heard from neighbors that first formal evacuation warning in my neighborhood was by a single officer with a bullhorn at 3:30 am after some homes in the neighborhood were engulfed, and one of 2 gate exits was blocked by a fallen tree. There was no electronic evacuation warning, cell service, or reverse 911 call in this area, as there were in La Crescenta when the Station Fire was advancing overnight into the neighborhoods. This is unacceptable. The mistakes made that night must never happen again.  Otherwise, the risk is simply too high for people to return.",3.295623064,8.849842072
664,Emergency planning & community safety,Emergency response improvements,"In addition to the clear failures in both fires, both locations, for notifications, I personally watched an area of Hollywood evacuated by emergency alert, then watched as approximately 10,000 cars all attempted to exit out of the area at exactly the same time; leading to some being stuck in their garages up to 2 hours after the initial evacuation notice went out, because of the massive log-jam of traffic. This was a complete failure in terms of communication/notification.  There was NO traffic control in advance of this notification which should have been required before sending it, especially for a high-density area.  There's no identified evacuation routes for these types of situations.",2.064810038,8.888820648
713,Emergency planning & community safety,Emergency response improvements,"There MUST be a collaboration with fire, police and other agencies to come up with a plan for emergency evacuation under all various scenarios, and 100% information exchanges between them!  It was an appalling as well as frightening situation to see well-meaning people trying to direct people trying to flee! Half of them were directing people towards the village from the western area, and others said to head westward!!  It is a miracle that so few lives were lost during that debacle.  And grateful we should all be that this happened in the morning, rather than at night! In fairness, the emergency alarm system did alert people --- but at least 10 minutes after the fire was clearly out of control. Why was the community not alerted a day early",2.613133907,8.456071854
761,Emergency planning & community safety,Emergency response improvements,"The evacuation was handled quite well, I don't know if investment there is needed.",2.024948359,6.991179943
763,Emergency planning & community safety,Emergency response improvements,"I went through the Eaton fire so cannot comment on Palisades.  The press has reported what can only be described as a lack of coordination.  Alerts went out too late, police and fire acting independently, etc.",2.153824329,8.085074425
807,Emergency planning & community safety,Emergency response improvements,The fire fighters did not evacuate our area and then they watched our city burn to the ground. It is shameful and tragic that lives were lost due to the incompetence.,2.797225952,8.48370266
827,Emergency planning & community safety,Emergency response improvements,"More education about fire prevention, such as removing furniture and storage from the house perimeter, not using wood for fences, maintaining fire extinguishers, fireproof vents, etc should be required by the county and inspected by insurance companies. 

Insurance companies already check for overhanging trees, which is a similar risk issue.  Aftermarket sprinklers should be required inside and outside the house.  

A siren alarm system such as that for tornadoes in other states is not costly. Cell phone alerts are not appropriate for middle of the night event.

My neighbors saved their houses by dousing small fires all night long.  When we are ordered to evacuate, the fire dept took the responsibility to save our homes.....and failed.",3.804909945,9.315297127
859,Emergency planning & community safety,Emergency response improvements,"I think this was well done. Fire coordinates across state, local, federal, and multiple jurisdiction better than any other group I have ever seen.",1.687780499,7.324490547
864,Emergency planning & community safety,Emergency response improvements,"Pre deploy the fire department on windy days. We KNEW this was a historic wind event and there were ZERO fire fighters deployed in the Palisades area. Have all agencies communicating.. this was NOT happening. Have police in the area helping divert traffic. 23,000 people leaving the Palisades with only 2 ways out with ZERO help on the ground.",3.689439058,7.923048019
1079,Emergency planning & community safety,Emergency response improvements,Acknowledgment of this total failure on Jan 7 and 8 is the first step to fixing the issue.,3.003386021,6.984972954
1152,Emergency planning & community safety,Emergency response improvements,I thought most of the emergency communications were working fairly well. I know there was some miscommunication messages about evacuation so that should be reviewed too,2.427334309,6.61576128
1163,Emergency planning & community safety,Emergency response improvements,We were told to evacuate way too late. I left at 11:17am from my home and it took 3 hours to get out of the palisades. Unacceptable!! There needs to be a more local approach to evacuation and a clear plan as this cannot happen again.,2.402213573,9.61518383
1171,Emergency planning & community safety,Emergency response improvements,There is so much more we could have done to be prepared. Homes and a church burned down on 1.8.25 in the Palisades. No one was there to help.,3.942862034,8.139904976
1178,Emergency planning & community safety,Emergency response improvements,i still can't believe an evacuation notice was sent at 325am.  it's unconscionable.  an after action report must be conducted on this.,2.648385525,9.698399544
1252,Emergency planning & community safety,Emergency response improvements,The mandatory evacuation order for the Palisades came too late. Fix the system.,3.254490852,9.591901779
1306,Emergency planning & community safety,Emergency response improvements,"My husband received evacuation order by alert, but , my iPhone didn't receive any.  Evacuation order should not alert 3 am without notice...The county should have notice us 8 pm or the time fire started...",2.688119411,9.485359192
1313,Emergency planning & community safety,Emergency response improvements,The organizational ecosystem in LA is disjointed and did not coordinate well. Work should be done now to improve basic community organizing skills and methods.,2.701336384,7.160544395
1412,Emergency planning & community safety,Emergency response improvements,This seemed to work very effectively.  I think improved planning will occur naturally.,1.739454269,6.769111156
1457,Emergency planning & community safety,Emergency response improvements,"Warning systems should be working, fire and police should be in place to assist in evacuations. Possibly sirens to alert neighborhoods in ""very high fire zones"" to evacuate.  Neighborhood meetings specific to fire evacuation routes and procedures.",4.113564014,8.343251228
1462,Emergency planning & community safety,Emergency response improvements,"This was the biggest failure of these fires, and it's essential that coordination is improved.",2.341412067,7.457679749
1500,Emergency planning & community safety,Emergency response improvements,"My family evacuated at 1:15 pm on the day of the fire.  One reason that we evacuated early was to avoid interfering with any emergency vehicles.  My ring cameras ran all afternoon, and the emergency responders never came.   In the future the emergency responders should communicate to us if they know they can't come.",2.895467997,8.817511559
1602,Emergency planning & community safety,Emergency response improvements,"I was shocked at how poorly the city handled the Palisades fire.  No water, no reservoirs, no police to handle traffic evacuations",3.185279369,8.064671516
1617,Emergency planning & community safety,Emergency response improvements,"All the first responders failed during this event, starting with the LA City Fire department that did not have equipment preposition for a very dangerous weather event.   The police response was also delayed. Both departments are seriously understaffed, possibly due to unaffordable compensation costs.   Whatever the case, both departments need to be staffed at per capitalevels that are comparable to other large cities in the United States..",3.016329288,7.868974686
1731,Emergency planning & community safety,Emergency response improvements,"COORDINATION AMOUNG AGENCIES needs to be addressed. WATER regardless of any protected species should be made available in a time of emergency, furthermore FUND THE FIRE DEPARTMENT appropriately and don't publicize CA STATE/LA COUNTY scapegoat by firing the FIRE CHIEF. The people know better....its LA and the STATE that is the problem.",2.487956285,7.378795147
295,Emergency planning & community safety,Other,"Some people who were killed in the fires couldn't get out. They had accessibility issues or special needs and need to be accounted for before disaster strikes so the appropriate resources can be rushed to save the most vulnerable. We need more information to get to people in a timely manner so they know where the fire is, which roads are inaccessible, which route to take, when to leave, when they can come back, etc. I heard in Palisades, police told people to exit their cars and run but then the cars in the road blocked fire fighter access and they needed to use a bulldozer. There need to be a one stop shop for all the info instead of the 5-10 different apps I got info from. I got more info from neighbors and next door than anything else.",4.600985527,6.004560947
363,Emergency planning & community safety,Other,"This needs to be improved, and modernized. AI needs to be a part of it and it needs to be HYPER local (block by block specific). Also, an audit of the failings needs to be conducted.",5.402956009,7.558113098
376,Emergency planning & community safety,Other,"Well planned evacuation routes and keeping communities in high risk areas apprised to these routes and what to do in the event of, is essential.",4.346882343,5.342645645
527,Emergency planning & community safety,Other,Still not sure why there were no fire personnel around upper Chautauqua the entire day?? With all of the other fires over the past 40 years that is the first place they race to.,3.721837282,7.14480114
554,Emergency planning & community safety,Other,"Make sure that seniors and people with disabilities are not left behind. Registries alone are not going to help much, offer dedicated funding",5.146337509,6.07378149
584,Emergency planning & community safety,Other,"Altadena was completely failed by the warning system!!!  911 was receiving calls about fires, and there was no evacuation warning.  Is anyone going to say what the heck happened?  And then we were all tortured by the erroneous warnings the following week and the county's response was ""it's an IT system problem, it's not an actual human sending this out"".  That's not acceptable!!!  Maybe it should be a combination of a human and a system.  Can we not have chat bots running our safety procedures????",5.605498791,9.188346863
605,Emergency planning & community safety,Other,You can reach out to the retirement communities for people to help develop Materials needed for evacuation and warning. There are many retired people with expertise that can help with an already stretched financial situation.,4.852276325,5.301577091
632,Emergency planning & community safety,Other,The state needs to give local municipalities mandates and resources to have emergency planning in place. Pasadena FAILED - its emergency and evacuation plan were nothing more than wish list and draft. Pasadena Fire Department said it had Genasys alert system which was never used. They had to ask - on the fly - for the Rose Bowl to be the incident command center and for the Convention Center to be a shelter. Neither of which were in any plans. No evacuation orders were issued until HOURS after the fire started - well after we could see the mountain on fire and ashes flying around! Who is responsible? PFD presented an evacuation plan a couple years ago and listed Pasadena Police in charge of evacuations - did PPD know they were in charge?,4.631630421,8.93198204
633,Emergency planning & community safety,Other,"All government agencies should be required to give a public report on the after action for transparency and accountability. Pasadena cancelled all its public safety meetings so far this year and has yet to say they will talk about the most significant event they have faced. They need to be held accountable. If not for us peasants then for the money. LA will have the soccer World Cup, the Olympics and Pasadena is obviously ill-prepared for a fire during their Rose Parade.",4.667966366,8.17716217
634,Emergency planning & community safety,Other,"The government said it used AI - the Genasys warning system was ""AI"" but it failed. The tech company deflected and said it was not their technology. 

Yes and audit needs to be done! Why is there tech that no one is going to use?",5.89780283,8.326699257
635,Emergency planning & community safety,Other,"There needs to be actual detailed protocols in place with responsible agencies and information dissemination. It is beyond the pale that vulnerable communities were not given consideration. The point of government is to have emergency planning, and cannot say that its up to us as individuals to figure it out!",4.395623684,6.799061775
643,Emergency planning & community safety,Other,no warnings no fire equipmeny no good government as has been the case in the Altadena area…was different under Antonovitch felt like somebody kind of had a interest in altadena when I would call them with even petty issues like trash collection…been different under Barger…all the people cooking in the street etc..felt like I lived in a cesspool and now this unacceptable lack of emergency resources and still it continues…somebody on my street living in a tent and reachimg out for help on Nextdoor…unacceptable,4.931228161,9.507135391
681,Emergency planning & community safety,Other,"Please consider brush clearance, controlled burns and fines for those who do not properly maintain there brush/trees",4.649200916,4.082986355
731,Emergency planning & community safety,Other,Use a system similar to amber alerts that clearly stated all pertinent information. Emergency Management Centers should already be in place with a solid well trained staff,4.955649853,7.41943264
782,Emergency planning & community safety,Other,"Alterts did not go out for people in Altadena living East of Lake until it was too late for many. With a propely working altert system, we may have been able to avoid many of the deaths that occurred due to the Eaton Fire.  

Additionally, instead of waking up to fire in the middle of the night, people could have had time to pack and evacuate, or water the property and try to defend their homes.",4.559898376,9.45926857
814,Emergency planning & community safety,Other,Part of me will never forgive the county's utter failure in protecting the people of West Altadena. Literally ANY alert system would be better than what was done for us.,5.163938999,9.603527069
979,Emergency planning & community safety,Other,Don't outsource our emergency warning systems to private companies who put peoples lives in the hands of an AI model. Competent human beings able to talk to all emergency services and make good decisions please.,5.716991425,8.041210175
1085,Emergency planning & community safety,Other,Prepare transit agencies and fleet owners to evacuate people who can't drive such as seniors or people with disabilities.,4.635967255,6.166076183
1153,Emergency planning & community safety,Other,Cities should have some sort of evacuation system for elderly retirees living in facilities. Even if the cities have to coordinate it with the retirement facilities operators.,4.504159451,6.254960537
1235,Emergency planning & community safety,Other,"There was no warning systems in place for the Pasadena Altadena fire. Everyone was focused on the other fire when it first broke out. We were usually g channels 2,4, and 7 on tv to see what their reporters were saying, and finding out where they were. We needed official Pasadena updates from the fire or police, and did not get them.",4.917635918,8.860333443
1274,Emergency planning & community safety,Other,An actual working warning system would have been nice in Altadena.,5.441257954,8.829701424
1297,Emergency planning & community safety,Other,Retain qualified logistics and traffic experts to handle these issues.,4.285349369,4.618662834
1304,Emergency planning & community safety,Other,"Clear and concise communication and instructions in the event of any disaster. Seems like no one knew what to do, where to go, or how to get there.",3.90311718,6.800799847
1434,Emergency planning & community safety,Other,Critical. The City should focus on effectively performing duties only the City can perform.,3.284834862,6.4317379
1449,Emergency planning & community safety,Other,Warning systems need significant improvement. Maybe copy the Amber Alert system. That works very well,5.103689194,7.859585762
1622,Emergency planning & community safety,Other,"I thought the communication about the upcoming high winds and evacuation were very good. I got numerous text messages I had signed up for. I felt like I got enough notice on evacuating. The coordination of traffic was very poor. No excuse of the gridlock on Palisades Drive, we are all lucky many people up there did not die.",2.507805824,6.184896946
1667,Emergency planning & community safety,Other,This should be an easy fix,5.310236931,5.809057236
447,Emergency planning & community safety,Wildfire preparedness,"In theory, important. In reality, again, it will be a mess, and I'd rather you not even try.",6.051698685,5.173411846
449,Emergency planning & community safety,Emergency warning systems,"There is not a good reason in 2025 to have outdated or ineffective warning systems and the ability for state, county and city agencies to effectively interact.",7.132609844,3.261663437
523,Emergency planning & community safety,Wildfire preparedness,"This is challenging, because warning systems, evacuations, etc can all be amazing, but if people don't listen and act it is sadly a wasted effort.",6.447421074,5.161472321
701,Emergency planning & community safety,Wildfire preparedness,A lot of us want to clear brush and trees but are told we cannot because of ESHA. Suspend to Coastal act and ESHA with it.,5.593164921,4.188166618
717,Emergency planning & community safety,Wildfire preparedness,"Create  desinalation
plants and may be once or twice a year ""make the rain"" on the most críticas áreas to damp it, AND I know that it Will be a Lot of monkey involve but Aldo we can make the geoengeneer wind catcher to reduce the risk in the case a fire spark apear.",5.122294426,4.496693611
878,Emergency planning & community safety,Wildfire preparedness,"There were too many articles being written about how severely understaffed the L.A. Fire Department is in regards to the area they serve. Staff appropriately. This seems like a no brainer seeing as we already passed the 1.5C threshold of global warming, which means our fire seasons will only get worse. Create an actual physical emergency system (like the ones they built in areas of the country that experience tornadoes). We need a better way. Also - the state needs to make a concerted effort to GET RID OF LAWNS. Stop using up all our water to water grass lawns. We need to educate people about the importance of planting NATIVE PLANTS. They are adapted to the region, save water, and provide fire resilience. It's a win for everyone!",5.707945824,3.19760108
907,Emergency planning & community safety,Wildfire preparedness,Excellent items funded by previously appropriate taxation.,6.004758835,3.471763134
911,Emergency planning & community safety,Wildfire preparedness,"We need stations that monitor fire risk.  I imagine we were in an extremely risky dry state for months, just waiting for the next Santa Anas, let alone historic ones.",4.860920906,4.375838757
948,Emergency planning & community safety,Other,"I suggest making  answers to the following information easily accessible.  Qs:  Is the Phase 2 debris to be removed completely toxin free?  If not, why should we not be concerned?  Has the Phase 2 debris been tested? When will my area have Phase 2 debris removal?",5.065531731,5.026147366
